GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,2824924400.0,647612600.0,3086054473.0,2,20191224
1,1,1,1,101002,4112,723476000.0,94309700.0,804145432.0,3,20191224
1,1,1,1,101002,4113,83645300.0,0.0,83645300.0,4,20191224
1,1,1,1,101002,4212,130891300.0,-35890000.0,70747386.8,5,20191224
1,1,1,1,101002,4213,13240000.0,51455000.0,59401050.9,6,20191224
1,1,1,1,101002,4214,40000000.0,-8300000.0,25476085.6,7,20191224
1,1,1,1,101002,4215,4000000.0,-930000.0,3052000.0,8,20191224
1,1,1,1,101002,4216,0.0,500000.0,0.0,9,20191224
1,1,1,1,101002,4221,460000000.0,93802000.0,467602167.7,10,20191224
1,1,1,1,101002,4231,6000000.0,2500000.0,7500000.0,11,20191224
1,1,1,1,101002,4232,5304000.0,-2020000.0,2636000.0,12,20191224
1,1,1,1,101002,4234,17140000.0,-2092900.0,14157298.9,13,20191224
1,1,1,1,101002,4235,3000000.0,8700000.0,0.0,14,20191224
1,1,1,1,101002,4236,1000000.0,0.0,286050.0,15,20191224
1,1,1,1,101002,4237,195000000.0,-15000000.0,121236400.0,16,20191224
1,1,1,1,101002,4241,3000000.0,-295000.0,2345000.0,17,20191224
1,1,1,1,101002,4251,89000000.0,2490000.0,20438672.0,18,20191224
1,1,1,1,101002,4252,20500000.0,-600000.0,12065520.0,19,20191224
1,1,1,1,101002,4261,40511500.0,-20196600.0,11635468.3,20,20191224
1,1,1,1,101002,4262,5653000.0,-2413000.0,3208000.0,21,20191224
1,1,1,1,101002,4264,100000000.0,-80339900.0,16813800.0,22,20191224
1,1,1,1,101002,4267,22314100.0,-3138100.0,17403609.7,23,20191224
1,1,1,1,101002,4269,36000000.0,-5473700.0,20911533.0,24,20191224
1,1,1,1,101002,4729,89400000.0,12200000.0,98571754.0,25,20191224
1,1,1,1,101002,4822,4459800.0,0.0,3132430.0,26,20191224
1,1,1,1,101002,4861,50000000.0,0.0,44598496.1,27,20191224
1,1,1,2,105034,4111,729599200.0,0.0,673718490.0,28,20191224
1,1,1,2,105034,4112,161597200.0,0.0,138065597.0,29,20191224
1,1,1,2,105034,4113,46859700.0,0.0,46859700.0,30,20191224
1,1,1,2,105034,4212,1966500.0,18700.0,1984419.8,31,20191224
1,1,1,2,105034,4214,8720300.0,-1764200.0,5225092.4,32,20191224
1,1,1,2,105034,4215,520000.0,0.0,109000.0,33,20191224
1,1,1,2,105034,4216,33098800.0,0.0,33086664.0,34,20191224
1,1,1,2,105034,4221,76029800.0,0.0,55743170.0,35,20191224
1,1,1,2,105034,4232,4767800.0,0.0,4365460.0,36,20191224
1,1,1,2,105034,4234,648100.0,0.0,271328.0,37,20191224
1,1,1,2,105034,4235,948000.0,-948000.0,0.0,38,20191224
1,1,1,2,105034,4237,1500000.0,1793900.0,2756854.0,39,20191224
1,1,1,2,105034,4239,420000.0,0.0,420000.0,40,20191224
1,1,1,2,105034,4251,0.0,12525000.0,0.0,41,20191224
1,1,1,2,105034,4252,3307000.0,0.0,2176550.0,42,20191224
1,1,1,2,105034,4261,4015400.0,0.0,2310036.2,43,20191224
