CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
4,332271001,000260,63150683.5,63150683.5,0.0,0.0,20080819,20171230,Հայաստանի Էլեկտրական ցանցեր,20171227
4,332272001,012.08.13.00489,44037581.0,44037581.0,0.0,0.0,20130707,20171230,Գազպրոմ Արմենիա ՓԲԸ,20171227
5,332270001,4-12-10,10644409.0,10644409.0,0.0,0.0,20170130,20171230,Վեոլիա Ջուր,20171227
5,357320001,ՀՀ ԱԺ ԲԸԱՀԾՁԲ-17/3-1,424000.0,424000.0,0.0,0.0,20170130,20171230,Երեւանի կանխարգելիր ախտահանում,20171227
6,336745001,10495648,15147275.0,15147275.0,0.0,0.0,20130305,20171230,ՄՏՍ Հայաստան ՓԲԸ,20171227
6,344323001,112759246,8446481.5,8446481.4,0.0,0.0,20130722,20171230,ԱՐՄԵՆՏԵԼ,20171227
6,344324001,118197051,847242.8,807703.0,0.0,0.0,20150603,20171230,ԱՐՄԵՆՏԵԼ,20171227
6,344325001,ARM-C158/15,274761.0,274761.0,0.0,0.0,20150525,20171230,ԱՐՄԵՆՏԵԼ,20171227
6,344929001,ՀՀ ԱԺ ՇՀԾՁԲ-15/1-2017,1399992.0,1399992.0,0.0,0.0,20170119,20171230,ՄՏՍ Հայաստան ՓԲԸ,20171227
6,357308001,ԱԺ ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,9686846.3,9686846.3,0.0,0.0,20131113,20171230,Յուքոմ ՍՊԸ,20171227
6,364970001,Հրաման-25-Ա,4875000.0,4875000.0,0.0,0.0,20111212,20171230,ԱԱ նախարարություն,20171227
7,344628001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-022,3370000.0,3370000.0,0.0,0.0,20170206,20171231,Գարանտ Ասիստանս ՍՊԸ,20171227
10,364643001,Բ 1589228567,298000.0,298000.0,0.0,0.0,20170515,20171225,Վամպամ ՍՊԸ,20171227
10,364969001,Բ 4573702042,700000.0,700000.0,0.0,0.0,20170515,20171225,Վամպամ ՍՊԸ,20171227
10,365686001,Բ 2359171691,998000.0,998000.0,0.0,0.0,20170503,20171225,Վամպամ ՍՊԸ,20171227
10,371010001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-023,170000.0,170000.0,0.0,0.0,20170224,20171230,Հայկական ծրագրեր ՍՊԸ,20171227
11,344038001,Բ 7058605275,337500.0,337500.0,0.0,0.0,20170207,20171225,Հայրապետ Հրատարակչություն ՍՊԸ,20171227
11,359171001,ՀՀ ԱԺ ՇՀԱՊՁԲ-15/20-2017Պ,1849076.0,1230931.0,0.0,0.0,20170119,20171230,Պրես Ստենդ ՍՊԸ,20171227
11,391012001,ՀՀ ԱԺ ՄԱԱՇՁԲ-17/2-4,1000000.0,1000000.0,0.0,0.0,20171206,20171230,Հարություն Աֆրիկյան ԱՁ,20171227
11,391470001,ՀՀ ԱԺ ԳՀԱՇՁԲ-17/4,888000.0,0.0,0.0,0.0,20171208,20171230,ԼԵԳԱԼ- ՊԼՅՈՒՍ ՍՊԸ,20171227
11,392999001,Բ2597271764,500000.0,0.0,0.0,0.0,20171222,20171230,ՀԱՐՈՒԹՅՈՒՆ ԱՖՐԻԿՅԱՆ ԱՁ,20171227
12,383631001,ՀՀ ԱԺ ՄԱԾՁԲ-17/3-15,300000.0,300000.0,0.0,0.0,20171018,20171230,ՍԵԼԵՆԱ-ՍԵՐՎԻՍ Հ/Ձ,20171227
14,386846001,ՀՀ ԱԺ ԳՀԾՁԲ-17/2,12000000.0,12000000.0,6000000.0,6000000.0,20171106,20171230,ԱՐԹԻՆ ԷՆԹՐՓՐԱՅՍ ՍՊԸ,20171227
15,385345001,ՀՀ ԱԺ ՄԱԾՁԲ-17/3-27,500000.0,500000.0,0.0,0.0,20171114,20171230,ԱՆՇԱՐԺ ԳՈՒՅՔ,20171227
15,390583001,ՀՀ ԱԺ ՄԱԾՁԲ -17/3-6,467600.0,467600.0,0.0,0.0,20170802,20171230,ՍՕՍ ՍԻՍԹԵՄՍ ՍՊԸ,20171227
17,350877001,ՀՀ ԱԺ ՇՀԾՁԲ-15/3-2017,21000000.0,21000000.0,0.0,0.0,20170112,20171230,Կարկոմավտո Սերվիս ՍՊԸ,20171227
