GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,3100605800,150000000.0,3250605800.0,2,20161229
1,1,1,1,101002,4113,75221500,0.0,75221500.0,3,20161229
1,1,1,1,101002,4212,186219000,-83331100.0,102887900.0,4,20161229
1,1,1,1,101002,4213,31216800,-18782000.0,11896878.0,5,20161229
1,1,1,1,101002,4214,111363400,-53061000.0,54445644.0,6,20161229
1,1,1,1,101002,4215,4320000,-659500.0,3660470.0,7,20161229
1,1,1,1,101002,4221,350000000,0.0,350000000.0,8,20161229
1,1,1,1,101002,4231,6000000,-3000000.0,3000000.0,9,20161229
1,1,1,1,101002,4232,3000000,0.0,3000000.0,10,20161229
1,1,1,1,101002,4234,15856000,-10711000.0,5141065.0,11,20161229
1,1,1,1,101002,4237,195000000,28315500.0,213510426.0,12,20161229
1,1,1,1,101002,4252,20000000,3100000.0,22991490.0,13,20161229
1,1,1,1,101002,4261,52862200,-6600000.0,46224990.0,14,20161229
1,1,1,1,101002,4262,5653000,0.0,5647500.0,15,20161229
1,1,1,1,101002,4264,123958400,0.0,120888160.0,16,20161229
1,1,1,1,101002,4267,19344600,-4510000.0,14829030.0,17,20161229
1,1,1,1,101002,4269,38333800,-3141000.0,34970000.0,18,20161229
1,1,1,1,101002,4729,105000000,0.0,105000000.0,19,20161229
1,1,1,1,101002,4822,4459800,0.0,3053500.0,20,20161229
1,1,1,1,101002,4861,50000000,0.0,49970000.0,21,20161229
1,1,1,2,105034,4111,747537000,0.0,747537000.0,22,20161229
1,1,1,2,105034,4113,59804700,0.0,59804700.0,23,20161229
1,1,1,2,105034,4212,4866300,-65500.0,1401728.0,24,20161229
1,1,1,2,105034,4213,200000,0.0,0.0,25,20161229
1,1,1,2,105034,4214,12359200,0.0,7539024.0,26,20161229
1,1,1,2,105034,4215,640000,0.0,569860.0,27,20161229
1,1,1,2,105034,4216,26836000,0.0,24598442.0,28,20161229
1,1,1,2,105034,4221,61681100,5947400.0,66685217.0,29,20161229
1,1,1,2,105034,4231,420000,0.0,420000.0,30,20161229
1,1,1,2,105034,4232,1967800,0.0,1673000.0,31,20161229
1,1,1,2,105034,4234,4995700,-1927400.0,579150.0,32,20161229
1,1,1,2,105034,4235,5000000,-4020000.0,972000.0,33,20161229
1,1,1,2,105034,4237,1500000,0.0,1362570.0,34,20161229
1,1,1,2,105034,4252,4024000,0.0,3794000.0,35,20161229
1,1,1,2,105034,4261,6459900,0.0,4015375.0,36,20161229
1,1,1,2,105034,4264,15200000,0.0,13365600.0,37,20161229
1,1,1,2,105034,4267,2047000,0.0,1721070.0,38,20161229
