MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2022
101002,ՀՀ Ազգային ժողով,2022
101003,ՀՀ վարչապետի  աշխատակազմ,2022
102001,ՀՀ սահմանադրական դատարան,2022
102002,ՀՀ դատական դեպարտամենտ,2022
102003,ՀՀվճռաբեկ դատարան,2022
102004,Վերաքննիչ քաղաքացիական դատարան,2022
102005,Վերաքննիչ քրեական դատարան,2022
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2022
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2022
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2022
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2022
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2022
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2022
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2022
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2022
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2022
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2022
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2022
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2022
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2022
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2022
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2022
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2022
102022,Վարչական դատարան,2022
102023,Երեվանի քաղաքացիական դատարան,2022
102024,Դատական դպրոց,2022
102025,Հյուսիսային քաղաքացիական դատարան,2022
102026,Հարավային քաղաքացիական դատարան,2022
102027,Երեվանի քրեական դատարան,2022
102028,Հյուսիսային քրեական դատարան,2022
102029,Հարավային քրեական դատարան,2022
102030,Բարձրագույն դատական խորհուրդ,2022
103001,ՀՀ դատախազություն,2022
103002,ՀՀ հատուկ քննչական ծառայություն,2022
104001,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2022
104002,ՀՀ առողջապահության նախարարություն,2022
104003,ՀՀ արդարադատության նախարարություն,2022
