GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,3053557300.0,0.0,1977437795.0,2,20200817
1,1,1,1,101002,4112,787075200.0,-186000000.0,312760310.0,3,20200817
1,1,1,1,101002,4113,85369700.0,0.0,84434510.0,4,20200817
1,1,1,1,101002,4212,130032300.0,-30000000.0,47865110.6,5,20200817
1,1,1,1,101002,4213,87870000.0,0.0,45288760.5,6,20200817
1,1,1,1,101002,4214,24400000.0,0.0,9030744.6,7,20200817
1,1,1,1,101002,4215,2500000.0,0.0,2442000.0,8,20200817
1,1,1,1,101002,4221,696302000.0,-303123100.0,80846940.2,9,20200817
1,1,1,1,101002,4231,6000000.0,0.0,1800000.0,10,20200817
1,1,1,1,101002,4232,36407600.0,0.0,4092900.0,11,20200817
1,1,1,1,101002,4234,17140000.0,0.0,1818370.0,12,20200817
1,1,1,1,101002,4235,13000000.0,0.0,0.0,13,20200817
1,1,1,1,101002,4236,1000000.0,0.0,0.0,14,20200817
1,1,1,1,101002,4237,195000000.0,-46000000.0,38928290.0,15,20200817
1,1,1,1,101002,4241,9500000.0,0.0,4560000.0,16,20200817
1,1,1,1,101002,4251,130688700.0,1000000.0,51620501.0,17,20200817
1,1,1,1,101002,4252,15000000.0,0.0,1085464.8,18,20200817
1,1,1,1,101002,4261,30871700.0,0.0,6021390.0,19,20200817
1,1,1,1,101002,4262,4270000.0,0.0,800000.0,20,20200817
1,1,1,1,101002,4264,63474000.0,0.0,26166250.0,21,20200817
1,1,1,1,101002,4267,19720700.0,7500000.0,11212459.4,22,20200817
1,1,1,1,101002,4269,30616600.0,7500000.0,16245448.0,23,20200817
1,1,1,1,101002,4729,135600000.0,-30000000.0,64270968.0,24,20200817
1,1,1,1,101002,4822,3526000.0,0.0,0.0,25,20200817
1,1,1,1,101002,4861,50000000.0,0.0,19200000.0,26,20200817
1,1,1,2,105034,4111,724387700.0,0.0,438482338.0,27,20200817
1,1,1,2,105034,4112,199717400.0,-13869300.0,78296080.0,28,20200817
1,1,1,2,105034,4113,45257500.0,0.0,45257500.0,29,20200817
1,1,1,2,105034,4212,1966500.0,0.0,1295002.7,30,20200817
1,1,1,2,105034,4214,7197100.0,-360000.0,3351840.9,31,20200817
1,1,1,2,105034,4215,400000.0,0.0,354000.0,32,20200817
1,1,1,2,105034,4216,33088000.0,0.0,20403706.0,33,20200817
1,1,1,2,105034,4221,76029800.0,-27659100.0,1085600.0,34,20200817
1,1,1,2,105034,4232,4767800.0,0.0,799294.0,35,20200817
1,1,1,2,105034,4234,270000.0,360000.0,270000.0,36,20200817
1,1,1,2,105034,4235,948000.0,-513000.0,50000.0,37,20200817
1,1,1,2,105034,4237,1500000.0,0.0,184500.0,38,20200817
1,1,1,2,105034,4239,420000.0,0.0,245000.0,39,20200817
1,1,1,2,105034,4252,2590000.0,0.0,897483.5,40,20200817
1,1,1,2,105034,4261,4075000.0,0.0,0.0,41,20200817
1,1,1,2,105034,4264,9500000.0,0.0,5440605.0,42,20200817
1,1,1,2,105034,4267,1518300.0,513000.0,984000.0,43,20200817
1,1,1,2,105034,4822,110000.0,0.0,10000.0,44,20200817
1,1,1,3,101001,4111,528110700.0,0.0,266356046.0,45,20200817
1,1,1,3,101001,4112,126018500.0,-8751300.0,67557661.0,46,20200817
1,1,1,3,101001,4113,24870300.0,0.0,24867045.0,47,20200817
1,1,1,3,101001,4212,53877500.0,5000000.0,35748830.5,48,20200817
1,1,1,3,101001,4213,8620000.0,0.0,4037400.0,49,20200817
1,1,1,3,101001,4214,23990700.0,-5200000.0,4948009.1,50,20200817
1,1,1,3,101001,4215,1300000.0,0.0,748000.0,51,20200817
1,1,1,3,101001,4221,326900000.0,-31413500.0,74712684.0,52,20200817
1,1,1,3,101001,4231,1000000.0,0.0,111500.0,53,20200817
1,1,1,3,101001,4232,3904800.0,0.0,2160300.0,54,20200817
1,1,1,3,101001,4234,3000000.0,5200000.0,5823516.0,55,20200817
1,1,1,3,101001,4235,0.0,200000.0,136000.0,56,20200817
1,1,1,3,101001,4236,37500000.0,-18000000.0,7241741.6,57,20200817
1,1,1,3,101001,4237,162000000.0,0.0,67088330.2,58,20200817
1,1,1,3,101001,4251,18729800.0,0.0,220000.0,59,20200817
1,1,1,3,101001,4252,10536800.0,0.0,2964584.0,60,20200817
1,1,1,3,101001,4261,9134500.0,0.0,3761025.0,61,20200817
1,1,1,3,101001,4262,547000.0,0.0,155952.0,62,20200817
1,1,1,3,101001,4264,16416700.0,0.0,9419600.0,63,20200817
1,1,1,3,101001,4267,5102300.0,13800000.0,7212534.3,64,20200817
1,1,1,3,101001,4819,0.0,6960280.0,6960280.0,65,20200817
1,1,1,3,101001,4822,1400000.0,0.0,783226.0,66,20200817
1,1,1,3,101001,4861,126100000.0,-6960280.0,17784272.0,67,20200817
1,1,1,3,101003,4111,2645517100.0,0.0,1224195562.0,68,20200817
1,1,1,3,101003,4112,641276000.0,-44533100.0,304555147.0,69,20200817
1,1,1,3,101003,4113,114586000.0,0.0,99907312.0,70,20200817
1,1,1,3,101003,4212,178181400.0,-20000000.0,73637954.1,71,20200817
