MINID,NAME,DATA
105047,ՀՀ արդարադատության նախարարության քրեակատարողական ծառայություն,2020
105048,ՀՀ արդարադատության նախարարության  հարկադիր կատարումն ապահովող ծառայություն,2020
105049,Կոռուպցիայի կանխարգելման հանձնաժողով ,2020
105050,ՀՀ շրջակա միջավայրի նախարարության անտառային կոմիտե,2020
105051,ՀՀ պետական վերահսկողական ծառայություն,2020
105052,ՀՀ արդարադատության նախարարության պրոբացիայի ծառայություն,2020
105053,ՀՀ պաշտպանության նախարարության զինված ուժերի գլխավոր շտաբ,2020
105054,ՀՀ պաշտպանության նախարարության ռազմարդյունաբերության կոմիտե,2020
105055,ՀՀ կրթության եւ գիտության նախարարության բարձրագույն որակավորման կոմիտե,2020
105056,ՀՀ կրթության եւ գիտության նախարարության լեզվի կոմիտե,2020
106001,Երեւանի քաղաքապետարան,2020
106002,Արագածոտնի մարզպետարան,2020
106003,Արարատի մարզպետարան,2020
106004,Արմավիրի մարզպետարան,2020
106005,Գեղարքունիքի մարզպետարան,2020
106006,Լոռու մարզպետարան,2020
106007,Կոտայքի մարզպետարան,2020
106008,Շիրակի մարզպետարան,2020
106009,Սյունիքի մարզպետարան,2020
106010,Վայոց ձորի մարզպետարան,2020
106011,Տավուշի մարզպետարան,2020
301001,"Կոնվերս բանկ
",2020
301002,ՀՀ կառավարություն ,2020
301003,Մարդու իրավունքների պաշտպանի աշխատակազմ,2020
301004,Բելոռուսիա,2020
301005,Հայկական ավիաղուիներ ՊՓԲԸ,2020
301006,Գրեյթ Վելիի ՍՊԸ,2020
301007,Այլ մարմիններ,2020
301008,Աշտարակյան Գինիներ ՓԲԸ,2020
301009,«Լինսի» հիմնադրամ,2020
301010,Տավրոս,2020
301011,Ագրոբանկ,2020
301012,Հանքավան Սպրինգս ՍՊԸ,2020
301013,Վրաստան,2020
301014,Ոռոգում ՊՓԲԸ,2020
301015,Լինսի հիմնադրամ,2020
301016,«Գլաձոր»  ՈՒՎԿ,2020
301020,Այլ մարմիններ,2020
301021,Այլ մարմիններ,2020
301022,Այլ մարմիններ,2020
301023,Այլ մարմիններ,2020
301099, ,2020
302001,«Հայկական ատոմակայան» ՓԲԸ,2020
302002,«Բարձրավոլտ էլեկտր.ցանցեր»ՓԲԸ,2020
302003,«Էլեկտրաէներներգետիկական համակարգի օպերատոր» ՓԲԸ,2020
302004,«Հայաստանի էլեկտրակ.ցանցեր»ՓԲԸ,2020
302005,Միջազգային էներգետիկ կորպորացիա» ՓԲԸ,2020
302006,«Դարդան» ՍՊԸ-ից` «Ավտոճանապարհային մեքենաներ» ՓԲԸ-ի պարտքի մարում,2020
302007,«Ակբա-Կրեդիտ Ագրիոկլ բանկ»ՓԲԸ,2020
302008,«Նոր Ակունք» ՓԲԸ,2020
302009,«Կարեն Դեմիրճյանի անվան մետրոպոլիտեն»ՊՓԸ,2020
302010,«Հայջրմուղկոյուղի» ՓԲԸ,2020
302011,«Վայք Գրուպ» ՓԲԸ,2020
302012,«Որոտանի հիդրոէլեկտրոկայանների համալիր» ՓԲԸ,2020
302013,«ՓՄՁ ներդրումներ» ՈՒՎԿ հիմնադրամ,2020
302014,«Հայաստանի ՓՄՁ ԶԱԿ»հիմնադրամ,2020
302015,«Արմենիա մոլիբդեն փրոդաքշն»ՍՊԸ,2020
302016,«Զանգեզուր մայնինգ» ՍՊԸ,2020
302017,«Թամարա Ֆրութ» ՓԲԸ,2020
302018,«Հայջրմուղկոյուղի» ՓԲԸ«Համայնքային ջրամատակարարման եւ ջրահեռացման ծրագիր»,2020
