MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2019
101002,ՀՀ Ազգային ժողով,2019
101003,ՀՀ վարչապետի  աշխատակազմ,2019
102001,ՀՀ սահմանադրական դատարան,2019
102002,ՀՀ դատական դեպարտամենտ,2019
102003,ՀՀվճռաբեկ դատարան,2019
102004,Վերաքննիչ քաղաքացիական դատարան,2019
102005,Վերաքննիչ քրեական դատարան,2019
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2019
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2019
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2019
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2019
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2019
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2019
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2019
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2019
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2019
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2019
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2019
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2019
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2019
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2019
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2019
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2019
102022,Վարչական դատարան,2019
102023,Երեվանի քաղաքացիական դատարան,2019
102024,Դատական դպրոց,2019
102025,Հյուսիսային քաղաքացիական դատարան,2019
102026,Հարավային քաղաքացիական դատարան,2019
102027,Երեվանի քրեական դատարան,2019
102028,Հյուսիսային քրեական դատարան,2019
102029,Հարավային քրեական դատարան,2019
102030,Բարձրագույն դատական խորհուրդ,2019
103001,ՀՀ դատախազություն,2019
103002,ՀՀ հատուկ քննչական ծառայություն,2019
104001,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2019
104002,ՀՀ առողջապահության նախարարություն,2019
104003,ՀՀ արդարադատության նախարարություն,2019
104004,ՀՀ էկոնոմիկայի նախարարություն,2019
104005,ՀՀ արտաքին գործերի նախարարություն,2019
104006,ՀՀ շրջակա միջավայրի նախարարություն,2019
104007,ՀՀ էկոնոմիկայի նախարարություն,2019
104008,ՀՀ,2019
104009,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2019
104010,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2019
104011,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2019
104013,ՀՀ պաշտպանության նախարարություն,2019
104016,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարություն,2019
104018,ՀՀ բարձր տեխնոլոգիական արդյունաբերության նախարարություն,2019
104020,ՀՀ քաղաքաշինության նախարարություն,2019
104021,ՀՀ ֆինանսների նախարարություն,2019
104022,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2019
104023,ՀՀ արտակարգ իրավիճակների նախարարություն,2019
104024,ՀՀ վարչապետի աշխատակազմ,2019
104025,ՀՀ ֆինանսների նախարարություն /բժշկական ապահովագրության մասով/,2019
104026,ՀՀ միջազգային տնտեսական ինտեգրման եւ բարեփոխումների նախարարություն,2019
105001,ՀՀ կենտրոնական բանկ,2019
105002,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարության սոցիալական ապահովության ծառայություն,2019
105003,ՀՀ վիճակագրական կոմիտե,2019
105004,ՀՀ հանրային ծառայությունները կարգավորող հանձնաժողով,2019
105005,ՀՀ կենտրոնական ընտրական հանձնաժողով,2019
105006,ՀՀ արժեթղթերի հանձնաժողով,2019
105007,ՀՀ քաղաքացիական ծառայության խորհուրդ,2019
105008,ՀՀ տնտեսական մրցակցության պաշտպանության պետական հանձնաժողով,2019
105009,ՀՀ կադաստրի կոմիտե,2019
105010,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարության ջրային կոմիտե,2019
105011,ՀՀ կառավարությանն առընթեր մաքսային պետական կոմիտե,2019
105012,Հեռուստատեսության եւ ռադիոյի հանձնաժողով,2019
105013,ՀՀ պետական եկամուտների կոմիտե,2019
105014,ՀՀ արտակարգ իրավիճակների նախարարության  փրկարար ծառայություն,2019
105015,ՀՀ կրթության եւ գիտության նախարարության գիտության կոմիտե,2019
105016,ՀՀ ՏԿԵՆ քաղաքացիական ավիացիայի կոմիտե,2019
105017,ՀՀ արտաքին գործերի նախարարության պետական արարողակարգի ծառայություն,2019
105018,ՀՀ ազգային անվտանգության ծառայություն,2019
105019,ՀՀ ոստիկանություն,2019
