GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,2938180400.0,34622500.0,2916277946.0,2,20171227
1,1,1,1,101002,4113,79741100.0,0.0,79741100.0,3,20171227
1,1,1,1,101002,4212,91902800.0,15285600.0,107188264.5,4,20171227
1,1,1,1,101002,4213,11240000.0,-171500.0,11068409.0,5,20171227
1,1,1,1,101002,4214,59864400.0,-17101100.0,40638058.7,6,20171227
1,1,1,1,101002,4215,4320000.0,2652000.0,3370000.0,7,20171227
1,1,1,1,101002,4221,350000000.0,0.0,350000000.0,8,20171227
1,1,1,1,101002,4231,6000000.0,-3000000.0,3000000.0,9,20171227
1,1,1,1,101002,4232,15000000.0,-12738000.0,2166000.0,10,20171227
1,1,1,1,101002,4234,31856000.0,-22104500.0,7568431.0,11,20171227
1,1,1,1,101002,4236,0.0,300000.0,300000.0,12,20171227
1,1,1,1,101002,4237,195000000.0,-4223400.0,162329016.0,13,20171227
1,1,1,1,101002,4239,0.0,12000000.0,12000000.0,14,20171227
1,1,1,1,101002,4241,0.0,970000.0,967600.0,15,20171227
1,1,1,1,101002,4251,12000000.0,-12000000.0,0.0,16,20171227
1,1,1,1,101002,4252,20000000.0,3820000.0,21549620.0,17,20171227
1,1,1,1,101002,4261,42795000.0,-987200.0,41580710.0,18,20171227
1,1,1,1,101002,4262,5653000.0,-665000.0,4987400.0,19,20171227
1,1,1,1,101002,4264,123958400.0,-12202000.0,109368836.0,20,20171227
1,1,1,1,101002,4267,19344600.0,-5174400.0,10727500.0,21,20171227
1,1,1,1,101002,4269,38333800.0,-1437700.0,29632239.0,22,20171227
1,1,1,1,101002,4729,94500000.0,-7015000.0,87438828.0,23,20171227
1,1,1,1,101002,4822,4459800.0,0.0,4193350.0,24,20171227
1,1,1,1,101002,4861,50000000.0,0.0,49993425.0,25,20171227
1,1,1,2,105034,4111,712048100.0,31638800.0,743685101.0,26,20171227
1,1,1,2,105034,4113,56817300.0,0.0,56817300.0,27,20171227
1,1,1,2,105034,4212,1731900.0,398900.0,1845704.4,28,20171227
1,1,1,2,105034,4213,200000.0,-200000.0,0.0,29,20171227
1,1,1,2,105034,4214,8720300.0,-2200000.0,5422743.1,30,20171227
1,1,1,2,105034,4215,640000.0,-140000.0,500000.0,31,20171227
1,1,1,2,105034,4216,26836000.0,1676200.0,28230597.0,32,20171227
1,1,1,2,105034,4221,55690600.0,-48041600.0,7147720.0,33,20171227
1,1,1,2,105034,4232,1967800.0,0.0,1811600.0,34,20171227
1,1,1,2,105034,4234,4250000.0,-4031900.0,77000.0,35,20171227
1,1,1,2,105034,4235,3948000.0,-1701000.0,490000.0,36,20171227
1,1,1,2,105034,4237,1500000.0,-1500000.0,0.0,37,20171227
1,1,1,2,105034,4239,420000.0,0.0,420000.0,38,20171227
1,1,1,2,105034,4241,0.0,450000.0,450000.0,39,20171227
1,1,1,2,105034,4251,0.0,15776000.0,15776000.0,40,20171227
1,1,1,2,105034,4252,4024000.0,0.0,3881400.0,41,20171227
1,1,1,2,105034,4261,3430400.0,0.0,2216670.0,42,20171227
1,1,1,2,105034,4264,15200000.0,-573900.0,13174690.0,43,20171227
1,1,1,2,105034,4267,2047000.0,0.0,1459640.0,44,20171227
1,1,1,2,105034,4822,176000.0,-81500.0,94500.0,45,20171227
1,1,1,3,101001,4111,1517682800.0,-72772000.0,1212103746.0,46,20171227
1,1,1,3,101001,4113,52932600.0,-856800.0,52074333.0,47,20171227
1,1,1,3,101001,4212,123114100.0,0.0,87500784.7,48,20171227
1,1,1,3,101001,4213,6692300.0,0.0,6447154.0,49,20171227
1,1,1,3,101001,4214,52431800.0,0.0,24471404.8,50,20171227
1,1,1,3,101001,4215,2680000.0,0.0,2123100.0,51,20171227
1,1,1,3,101001,4216,31165200.0,0.0,31165200.0,52,20171227
1,1,1,3,101001,4221,627464000.0,100000000.0,625489707.3,53,20171227
1,1,1,3,101001,4231,1000000.0,0.0,113400.0,54,20171227
1,1,1,3,101001,4232,1944000.0,0.0,1944000.0,55,20171227
1,1,1,3,101001,4234,11239500.0,0.0,5889214.0,56,20171227
1,1,1,3,101001,4236,2000000.0,0.0,1217495.2,57,20171227
1,1,1,3,101001,4237,247940000.0,13500000.0,203807634.0,58,20171227
1,1,1,3,101001,4251,10000000.0,75000000.0,69609394.0,59,20171227
1,1,1,3,101001,4252,427329200.0,-100871800.0,321243330.0,60,20171227
1,1,1,3,101001,4261,29422400.0,0.0,15055316.0,61,20171227
1,1,1,3,101001,4262,2666500.0,0.0,408850.0,62,20171227
1,1,1,3,101001,4264,122962400.0,-11033300.0,63900204.0,63,20171227
1,1,1,3,101001,4267,22102300.0,0.0,5730139.0,64,20171227
1,1,1,3,101001,4511,328756500.0,-4764400.0,323992000.0,65,20171227
