GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,3,101003,4221,789666200,-526123800.0,258522400.0,79,20221231
1,1,1,3,101003,4231,4000000,2000000.0,2337802.0,80,20221231
1,1,1,3,101003,4232,90073000,-27225000.0,61435200.0,81,20221231
1,1,1,3,101003,4233,1570800,-1341800.0,0.0,82,20221231
1,1,1,3,101003,4234,17982600,-2867600.0,13426096.0,83,20221231
1,1,1,3,101003,4235,26000000,-16992400.0,9007592.0,84,20221231
1,1,1,3,101003,4237,225000000,290999992.0,414401474.0,85,20221231
1,1,1,3,101003,4239,1570000,500000.0,1276852.0,86,20221231
1,1,1,3,101003,4251,150000000,44250108.0,183289537.0,87,20221231
1,1,1,3,101003,4252,19250000,4750000.0,21658939.3,88,20221231
1,1,1,3,101003,4261,54276100,-42507695.0,9688940.0,89,20221231
1,1,1,3,101003,4262,2000000,-2000000.0,0.0,90,20221231
1,1,1,3,101003,4264,60080000,-11725300.0,47296678.8,91,20221231
1,1,1,3,101003,4269,855000,0.0,469410.0,92,20221231
1,1,1,3,101003,4822,4318700,0.0,1210900.0,93,20221231
1,1,1,3,101003,4861,150000000,0.0,150000000.0,94,20221231
1,1,1,3,104001,4111,956029600,0.0,956029600.0,95,20221231
1,1,1,3,104001,4112,199959700,29411350.0,229371050.0,96,20221231
1,1,1,3,104001,4113,73191700,0.0,73191700.0,97,20221231
1,1,1,3,104001,4212,20268400,-7768400.0,12234620.0,98,20221231
1,1,1,3,104001,4214,8464600,-2145280.0,5527618.2,99,20221231
1,1,1,3,104001,4215,320000,-32000.0,288000.0,100,20221231
1,1,1,3,104001,4216,0,50000.0,50000.0,101,20221231
1,1,1,3,104001,4221,8264800,-3042898.0,5221902.0,102,20221231
1,1,1,3,104001,4231,2500000,-1610000.0,350000.0,103,20221231
1,1,1,3,104001,4232,9645000,-1454950.0,8189990.0,104,20221231
1,1,1,3,104001,4233,360000,-112500.0,0.0,105,20221231
1,1,1,3,104001,4234,24164000,-17154400.0,5494796.0,106,20221231
1,1,1,3,104001,4235,50400000,-15612000.0,34788000.0,107,20221231
1,1,1,3,104001,4237,3000000,300000.0,3218021.0,108,20221231
1,1,1,3,104001,4239,552600,-116300.0,419245.0,109,20221231
1,1,1,3,104001,4241,1600000,291500.0,1890200.0,110,20221231
1,1,1,3,104001,4252,4161600,-146093.0,3935567.0,111,20221231
1,1,1,3,104001,4261,6493600,-578100.0,3528978.0,112,20221231
1,1,1,3,104001,4264,7780400,-278020.0,7396799.0,113,20221231
1,1,1,3,104001,4267,225000,0.0,68399.9,114,20221231
1,1,1,3,104001,4269,350000,-121500.0,215000.0,115,20221231
