CONTID,CONTRACT,FILENAME,FILENAMEBC
2097,341598001,39214100-kic-faylter.rar;39414656-0059 Armenia.part1.rar;39414656-0059 Armenia.part2.rar;39414656-0059 Armenia.part3.rar;41555130-0059.pdf,40483681-211_signed.pdf;41163925-211_signed.pdf;41458295-211.pdf;40651324-211.pdf;40967441-0059-211.pdf;41396453-211_signed.pdf
2097,341602001,39214181-kic-faylter.rar;39432282-0129 Erebuni.part1.rar;39432282-0129 Erebuni.part2.rar;39432282-0129 Erebuni.part3.rar;41536254-0129.pdf,40401759-0129-211.pdf;41263538-211.pdf;41207903-211.pdf;41197291-211.pdf
2097,341604001,39214368-kic-faylter.rar;39437283-0063 Perinatalogia.part1.rar;39437283-0063 Perinatalogia.part2.rar;41704043-perinatalogia.pdf,40484630-0063-211.pdf;41836915-0063.pdf;41180630-0063-211.pdf;40751127-0063-211.pdf;41170743-0063-211.pdf
2097,341606001,39214573-kic-faylter.rar;39349848-0134 Narekaci.part1.rar;39349848-0134 Narekaci.part2.rar;41600247-0134.pdf,41748226-211..pdf;41209766-0134-211.pdf;41198913-0134-211.pdf;40501321-0134-211.pdf;41265293-0134-211.pdf
2097,341608001,39214667-kic-faylter.rar;39442173-0010 Astxik BK.part1.rar;39442173-0010 Astxik BK.part2.rar;39442173-0010 Astxik BK.part3.rar;41576254-0010.pdf,41159853-211.pdf;41162802-arcanagrutyun_01.09.2017-30.09.2017-211.pdf;40477915-arcanagrutyun_01.05.2017-31.05.2017.pdf;41736994-211.pdf;41163663-211.pdf
2097,341610001,39214743-kic-faylter.rar;39419847-0132Tiv 2 bm.part1.rar;39419847-0132Tiv 2 bm.part2.rar;41557623-0132.pdf,41264748-0132-211.pdf;41209326-211.pdf;40501156-0132-211.pdf;41197998-0132-211.pdf
2097,341612001,39214832-kic-faylter.rar;39349901-0668 Yunktura.part1.rar;39349901-0668 Yunktura.part2.rar;41577967-0668.pdf,41228658-0668-211.pdf;40488573-0668-211.pdf;41808067-211..pdf;41273852-0668-211.pdf
2097,341615001,39214904-kic-faylter.rar;39421707-0580 Hatuk pol.part1.rar;39421707-0580 Hatuk pol.part2.rar,41210817-211_.pdf;40500950-211_.pdf;41271235-211_.pdf
2097,341617001,39214953-kic-faylter.rar;39438031-0569 Vl.Avagyan.part1.rar;39438031-0569 Vl.Avagyan.part2.rar;39438031-0569 Vl.Avagyan.part3.rar;41556826-0569.pdf,40501317-211.pdf;41735954-0569.pdf;41270687-0569-211.pdf;41212783-0569-211.pdf;41210452-0569-211.pdf
2097,341619001,39215124-kic-faylter.rar;39349976-0111 Tiv1pol.part1.rar;39349976-0111 Tiv1pol.part2.rar;40493190-ST-Tiv 1 pol.pdf;41598897-0111.pdf,41182979-221a.pdf;40967774-211.pdf;41443763-211.pdf;41443999-211..pdf
2097,341620001,39215148-kic-faylter.rar;39350034-0109 Tiv 4 pol.part1.rar;39350034-0109 Tiv 4 pol.part2.rar;41598780-0109.pdf,41692760-211..pdf;40494661-0109-211.pdf;41262885-0109-211.pdf;41182860-0109-211.pdf
2097,341622001,39215199-kic-faylter.rar;39350098-0108 Tiv 5 pol.part1.rar;39350098-0108 Tiv 5 pol.part2.rar;39992897-0108.pdf;41597956-0108.pdf,40967904-211.pdf;40494508-0108-211.pdf;41691280-211.pdf;41182791-0108-211.pdf
2097,341624001,39215271-kic-faylter.rar;39438929-0690 Medline.part1.rar;39438929-0690 Medline.part2.rar;39438929-0690 Medline.part3.rar;41612037-0690.pdf,41630887-211.pdf;40483675-211.pdf;41675892-211.pdf;40852750-arcanagrutyun 211_signed.pdf;41809244-211.pdf;40967986-0690-211.pdf;41253281-211.pdf
2097,341625001,39215291-kic-faylter.rar;39350271-0009 Tiv 8 pol.part1.rar;39350271-0009 Tiv 8 pol.part2.rar;41576079-0009.pdf,40636931-0009-ardz-211-6_signed.pdf;40407138-0009-ardz-211-4_signed.pdf;41282500-211.pdf;41809496-211.pdf;40744179-0009-211.pdf;41429307-0009.pdf;40968074-0009-211.pdf
2097,341626001,39215318-kic-faylter.rar;39350330-0104 Nor_Arabkir.part1.rar;39350330-0104 Nor_Arabkir.part2.rar;41577515-0104.pdf,40424559-______________________________  211.pdf;40765383-0104-211.pdf;41126525-0104-211.pdf;41282528-211.pdf;41693691-211.pdf;41620599-0104.pdf;40911580- 211     8_signed.pdf
2097,341628001,39215340-kic-faylter.rar;39350380-0103 Tiv 12 pol.part1.rar;39350380-0103 Tiv 12 pol.part2.rar;41577411-0103.pdf,40791489-0103-211.pdf;40649132-0103-211.pdf;41694923-0103.pdf;41394268-0103-211.pdf;40432793-0103-211.pdf;41262730-0103-211.pdf
2097,341632001,39215366-kic-faylter.rar;39350438-0102 Tiv 13 pol.part1.rar;39350438-0102 Tiv 13 pol.part2.rar;41577112-0102.pdf,41697032-211..pdf;40650459-0102-211.pdf;41282557-0102-211.pdf;40968397-0102-211.pdf;40791380-arcanagrutyun - 211_signed.pdf;40433713-arcanagrutyun - 211_signed.pdf;41809584-211..pdf
2097,341633001,39215422-kic-faylter.rar;39350491-0100 tiv  15 pol.part1.rar;39350491-0100 tiv  15 pol.part2.rar;41535863-0100.pdf,40425531-01000000-211_signed.pdf;40791359-01000000-211_signed.pdf;41282599-0100-211.pdf;40643760-01000000-211_signed.pdf;41697423-211.pdf;40968551-0100-211.pdf;41597190-0100.pdf
2097,341634001,39215511-kic-faylter.rar;39350560-0098 pol-17.part1.rar;39350560-0098 pol-17.part2.rar;39849327-0098 h.pdf;41577035-0098.pdf,41697996-211..pdf;41282617-211..pdf;40762873-211._signed.pdf;40968683-0098-211.pdf;41181339-211_signed.pdf;40491949-211_signed.pdf
2097,341636001,39215661-kic-faylter.rar;39350624-0007 Tiv 19 pol.part1.rar;39350624-0007 Tiv 19 pol.part2.rar;39350624-0007 Tiv 19 pol.part3.rar;41576011-0007.pdf,40433024-0007-211.pdf;41100555-0007-211.pdf;40636543-0007-211.pdf;41698784-211.pdf;41442177-0007.pdf;40968788-0007-211.pdf;41282649-0007-211.pdf
2097,341637001,39215793-kic-faylter.rar;39350956-0096 Tiv 20 pol.part1.rar;39350956-0096 Tiv 20 pol.part2.rar;39350956-0096 Tiv 20 pol.part3.rar;41597750-0096.pdf;41422040-Signed-Tiv 20 pol-hamadzaynagir.pdf,40636223-0096-211.pdf;41393841-0096-211.pdf;41106245-0096-211.pdf;40840053-0096-211.pdf;41809950-211.pdf;40431855-0096.pdf;41701031-211.pdf
2097,341640001,39215847-kic-faylter.rar;39351027-0094 Tiv 22 pol.part2.rar;39351027-0094 Tiv 22 pol.part1.rar;41576997-0094.pdf,40791280-arcanagrutyun 211_signed.pdf;41183151-211.pdf;40636005-211.pdf;41559914-211.pdf;41702603-211.pdf;40490363-arcanagrutyun 211_signed.pdf
2097,341641001,39215899-kic-faylter.rar;39351082-0093 Noragavit pol.part1.rar;39351082-0093 Noragavit pol.part2.rar;41576847-0093.pdf,40969183-211.pdf;40635728-AAP_signed.pdf;40791228-AAP_signed.pdf;40407113-AAP_signed.pdf;41708909-211.pdf;41282690-211.pdf;41598079-0093.pdf
2097,341643001,39215949-kic-faylter.rar;39386414-0658 Bj.Badanyan.part1.rar;39386414-0658 Bj.Badanyan.part2.rar;41600942-0658.pdf,40894021-arcanagrutyun 2017 211 - 7.pdf
2097,341645001,39215998-kic-faylter.rar;39351137-0624 Ignacia.part1.rar;39351137-0624 Ignacia.part2.rar;41556672-0624.pdf,40500429-211.pdf;41709419-211.pdf;41211227-211.pdf;40969334-0624-211.pdf
2097,341646001,39216042-kic-faylter.rar;39351805-0117 Tiv 9 mank pol.part1.rar;39351805-0117 Tiv 9 mank pol.part2.rar;41556907-0117.pdf,40494965-0117-211.pdf;41701802-211.pdf;41207080-211.pdf;41196449-211.pdf;40969468-0117-211.pdf
2097,341648001,39216222-kic-faylter.rar;39367625-0665 Nor Aresh pol.part1.rar;39367625-0665 Nor Aresh pol.part2.rar;41582121-0665.pdf,41220306-211.pdf;40491989-0665- 211.pdf;41710476-211.pdf
2097,341650001,39216309-kic-faylter.rar;39351879-0666  Nubarashen_Pol.part1.rar;39351879-0666  Nubarashen_Pol.part2.rar;41556193-0666.pdf,40490990-0666-211.pdf;41227112-211.pdf;41710955-211.pdf;41239006-0666-211.pdf;41273717-0666-211.pdf
2097,341652001,39216578-kic-faylter.rar;39351925-0667 Sari_Tax_pol.part1.rar;39351925-0667 Sari_Tax_pol.part2.rar;41582374-0667.pdf,40969602-0667-211.pdf;41711470-211..pdf;41227806-0667-211.pdf;40490016-0667-211.pdf
2097,341654001,39216745-kic-faylter.rar;41600992-0663.pdf,41220264-211.pdf;40492702-0663-211.pdf;41714040-211.pdf;41273052-211.pdf
2097,341658001,39216817-kic-faylter.rar;39351977-0664 S.Astvacacin.part1.rar;39351977-0664 S.Astvacacin.part2.rar;41582898-0664.pdf,40492310-0664-211.pdf;41823125-211..pdf;41407607-0664-211.pdf
2097,341659001,39216958-kic-faylter.rar;39352034-0660 K Esayan pol.part1.rar;39352034-0660 K Esayan pol.part2.rar;41577843-0660.pdf,40494313-0660-211.pdf;40969805-211.pdf;41217237-211.pdf;41715653-211.pdf
