MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2021
101002,ՀՀ Ազգային ժողով,2021
101003,ՀՀ վարչապետի  աշխատակազմ,2021
102001,ՀՀ սահմանադրական դատարան,2021
102002,ՀՀ դատական դեպարտամենտ,2021
102003,ՀՀվճռաբեկ դատարան,2021
102004,Վերաքննիչ քաղաքացիական դատարան,2021
102005,Վերաքննիչ քրեական դատարան,2021
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2021
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2021
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2021
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2021
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2021
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2021
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2021
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2021
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2021
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2021
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2021
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2021
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2021
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2021
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2021
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2021
102022,Վարչական դատարան,2021
102023,Երեվանի քաղաքացիական դատարան,2021
102024,Դատական դպրոց,2021
102025,Հյուսիսային քաղաքացիական դատարան,2021
102026,Հարավային քաղաքացիական դատարան,2021
102027,Երեվանի քրեական դատարան,2021
102028,Հյուսիսային քրեական դատարան,2021
102029,Հարավային քրեական դատարան,2021
102030,Բարձրագույն դատական խորհուրդ,2021
103001,ՀՀ դատախազություն,2021
103002,ՀՀ հատուկ քննչական ծառայություն,2021
104001,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2021
104002,ՀՀ առողջապահության նախարարություն,2021
104003,ՀՀ արդարադատության նախարարություն,2021
104004,ՀՀ էկոնոմիկայի նախարարություն,2021
104005,ՀՀ արտաքին գործերի նախարարություն,2021
104006,ՀՀ շրջակա միջավայրի նախարարություն,2021
