MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2016
101002,ՀՀ Ազգային ժողով,2016
101003,ՀՀ կառավարության աշխատակազմ,2016
102001,ՀՀ սահմանադրական դատարան,2016
102002,ՀՀ դատական դեպարտամենտ,2016
102003,ՀՀվճռաբեկ դատարան,2016
102004,Վերաքննիչ քաղաքացիական դատարան,2016
102005,Վերաքննիչ քրեական դատարան,2016
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2016
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2016
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2016
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2016
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2016
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2016
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2016
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2016
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2016
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2016
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2016
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2016
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2016
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2016
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2016
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2016
102022,Վարչական դատարան,2016
102023,Երեվանի քաղաքացիական դատարան,2016
102024,Դատական դպրոց,2016
102025,Հյուսիսային քաղաքացիական դատարան,2016
102026,Հարավային քաղաքացիական դատարան,2016
102027,Երեվանի քրեական դատարան,2016
102028,Հյուսիսային քրեական դատարան,2016
102029,Հարավային քրեական դատարան,2016
103001,ՀՀ դատախազություն,2016
103002,ՀՀ հատուկ քննչական ծառայություն,2016
104001,ՀՀ տարածքային կառավարման եվ զարգացման նախարարություն,2016
104002,ՀՀ առողջապահության նախարարություն,2016
104003,ՀՀ արդարադատության նախարարություն,2016
104004,ՀՀ տնտեսական զարգացման եւ ներդրումների նախարարություն,2016
104005,ՀՀ արտաքին գործերի նախարարություն,2016
104006,ՀՀ բնապահպանության նախարարություն,2016
104007,ՀՀ գյուղատնտեսության նախարարություն,2016
104008,ՀՀ,2016
104009,ՀՀ էներգետիկ ենթակառուցվածքների եվ բնական պաշարների նախարարություն,2016
104010,ՀՀ կրթության եւ գիտության նախարարություն,2016
104011,ՀՀ մշակույթի նախարարություն,2016
104013,ՀՀ պաշտպանության նախարարություն,2016
104016,ՀՀ աշխատանքի եվ սոցիալական հարցերի նախարարություն,2016
104018,"ՀՀ տրանսպորտի, կապի եւ տեղեկատվական տեխնոլոգիաների նախարարություն",2016
104020,ՀՀ քաղաքաշինության նախարարություն,2016
104021,ՀՀ ֆինանսների նախարարություն,2016
104022,ՀՀ սպորտի եվ երիտասարդության հարցերի նախարարություն,2016
104023,ՀՀ արտակարգ իրավիճակների նախարարություն,2016
104024,ՀՀ սփյուռքի նախարարություն,2016
104025,ՀՀ ֆինանսների նախարարություն /բժշկական ապահովագրության մասով/,2016
104026,ՀՀ միջազգային տնտեսական ինտեգրման եւ բարեփոխումների նախարարություն,2016
105001,ՀՀ կենտրոնական բանկ,2016
105002,ՀՀ աշխատանքի եվ սոցիալական հարցերի նախարարության սոցիալական ապահովության պետական ծառայություն,2016
105003,ՀՀ ազգային վիճակագրական ծառայություն,2016
105004,ՀՀ հանրային ծառայությունները կարգավորող հանձնաժողով,2016
105005,ՀՀ կենտրոնական ընտրական հանձնաժողով,2016
105006,ՀՀ արժեթղթերի հանձնաժողով,2016
105007,ՀՀ քաղաքացիական ծառայության խորհուրդ,2016
105008,ՀՀ տնտեսական մրցակցության պաշտպանության պետական հանձնաժողով,2016
105009,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտե,2016
105010,ՀՀ  էներգետիկ ենթակառուցվածքների եւ բնական պաշարների նախարարության ջրային տնտեսության պետական կոմիտե,2016
105011,ՀՀ կառավարությանն առընթեր մաքսային պետական կոմիտե,2016
105012,Հեռուստատեսության եվ ռադիոյի ազգային հանձնաժողով,2016
105013,ՀՀ կառավարությանն առընթեր պետական եկամուտների կոմիտե,2016
105014,ՀՀ արտակարգ իրավիճակների նախարարության Հայաստանի փրկարար ծառայություն,2016
105015,ՀՀ կրթության եվ գիտության նախարարության գիտության պետական կոմիտե,2016
105016,ՀՀ կառավարությանն առընթեր քաղաքացիական ավիացիայի գլխավոր վարչությոն,2016
105017,ՀՀ արտաքին գործերի նախարարության աշխատակազմի «Պետական արարողակարգի ծառայություն» գործակալություն,2016
105018,ՀՀ կառավարությանն առընթեր ազգային անվտանգության ծառայություն,2016
105019,ՀՀ կառավարությանն առընթեր ոստիկանություն,2016
105020,ՀՀ կառավարությանն առընթեր պետական գույքի կառավարման վարչություն,2016
105021,ՀՀ տարածքային կառավարման եվ զարգացման նախարարության միգրացիոն պետական ծառայություն,2016
105022,ՀՀ տարածք.կառ.նախ.աշխատ.պետ.ռեզերվների գործակալություն,2016
105026,ՀՀ տրանսպորտի նախարարության <Հայկական երկաթուղի> դեպարտամենտ,2016
105032,Պետական գնումների գործակալություն,2016
105033,Հայաստանի հանրային հեռուստառադիոընկերություն,2016
105034,ՀՀ վերահսկիչ պալատ,2016
105035,Մարդու իրավունքների պաշտպանի աշխատակազմ,2016
105036,ՀՀ արտաքին գործերի նախարարության Սփյուռքի հետ կապերի պետական կոմիտե,2016
105037,ՀՀ կառավարությանն առընթեր միջուկային անվտանգության կարգավորման պետական կոմիտե,2016
105039,ՀՀ տրանսպորտի եվ կապի նախ. կապի եվ տեղեկատվայնացման գլխավոր վարչութ,2016
105040,Ազգային Անվտանգության Խորհուրդ,2016
105041,ՀՀ ԿԱ ԱԱԾ Պետական պահպանության ծառայություն,2016
105042,ՀՀ գյուղատնտեսության նախարարության սննդամթերքի անվտանգության պետական ծառայություն,2016
105043,ՀՀ կառավարությանն առընթեր ճարտարապետության պետական կոմիտե,2016
105044,ՀՀ քննչական կոմիտե,2016
106001,Երեւանի քաղաքապետարան,2016
106002,Արագածոտնի մարզպետարան,2016
106003,Արարատի մարզպետարան,2016
106004,Արմավիրի մարզպետարան,2016
106005,Գեղարքունիքի մարզպետարան,2016
106006,Լոռու մարզպետարան,2016
106007,Կոտայքի մարզպետարան,2016
106008,Շիրակի մարզպետարան,2016
106009,Սյունիքի մարզպետարան,2016
106010,Վայոց ձորի մարզպետարան,2016
106011,Տավուշի մարզպետարան,2016
301001,"Կոնվերս բանկ
",2016
301002,ՀՀ կառավարություն ,2016
301003,Մարդու իրավունքների պաշտպանի աշխատակազմ,2016
301004,Բելոռուսիա,2016
301005,Հայկական ավիաղուիներ ՊՓԲԸ,2016
301006,Գրեյթ Վելիի ՍՊԸ,2016
301007,Այլ մարմիններ,2016
301008,Աշտարակյան Գինիներ ՓԲԸ,2016
301009,«Լինսի» հիմնադրամ,2016
301010,Տավրոս,2016
301011,Ագրոբանկ,2016
301012,Հանքավան Սպրինգս ՍՊԸ,2016
301013,Վրաստան,2016
301014,Ոռոգում ՊՓԲԸ,2016
301015,Լինսի հիմնադրամ,2016
301016,«Գլաձոր»  ՈՒՎԿ,2016
301020,Այլ մարմիններ,2016
301021,Այլ մարմիններ,2016
301022,Այլ մարմիններ,2016
301099, ,2016
302001,«Հայկական ատոմակայան» ՓԲԸ,2016
302002,«Բարձրավոլտ էլեկտր.ցանցեր»ՓԲԸ,2016
302003,«Էլեկտրաէներներգետիկական համակարգի օպերատոր» ՓԲԸ,2016
302004,«Հայաստանի էլեկտրակ.ցանցեր»ՓԲԸ,2016
302005,Միջազգային էներգետիկ կորպորացիա» ՓԲԸ,2016
302006,«Դարդան» ՍՊԸ-ից` «Ավտոճանապարհային մեքենաներ» ՓԲԸ-ի պարտքի մարում,2016
302007,«Ակբա-Կրեդիտ Ագրիոկլ բանկ»ՓԲԸ,2016
302008,«Նոր Ակունք» ՓԲԸ,2016
302009,«Կարեն Դեմիրճյանի անվան մետրոպոլիտեն»ՊՓԸ,2016
302010,«Հայջրմուղկոյուղի» ՓԲԸ,2016
302011,«Վայք Գրուպ» ՓԲԸ,2016
302012,«Որոտանի հիդրոէլեկտրոկայանների համալիր» ՓԲԸ,2016
302013,«ՓՄՁ ներդրումներ» ՈՒՎԿ հիմնադրամ,2016
302014,«Հայաստանի ՓՄՁ ԶԱԿ»հիմնադրամ,2016
