GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,3490468300.0,0,21212540.0,2,20230122
1,1,1,1,101002,4112,455307500.0,0,19830.0,3,20230122
1,1,1,1,101002,4113,87391000.0,0,9520.0,4,20230122
1,1,1,1,101002,4212,184998100.0,0,11288997.2,5,20230122
1,1,1,1,101002,4213,91630000.0,0,562919.8,6,20230122
1,1,1,1,101002,4214,26200000.0,0,74144.0,7,20230122
1,1,1,1,101002,4215,2500000.0,5800000,0.0,8,20230122
1,1,1,1,101002,4221,788629700.0,-5800000,18739810.8,9,20230122
1,1,1,1,101002,4231,10500000.0,0,0.0,10,20230122
1,1,1,1,101002,4232,71666000.0,0,0.0,11,20230122
1,1,1,1,101002,4234,12683000.0,0,700000.0,12,20230122
1,1,1,1,101002,4235,3000000.0,0,0.0,13,20230122
1,1,1,1,101002,4236,2000000.0,0,0.0,14,20230122
1,1,1,1,101002,4237,195000000.0,0,9000000.0,15,20230122
1,1,1,1,101002,4241,12200000.0,0,0.0,16,20230122
1,1,1,1,101002,4251,112246700.0,0,0.0,17,20230122
1,1,1,1,101002,4252,15000000.0,0,500000.0,18,20230122
1,1,1,1,101002,4261,30871700.0,0,0.0,19,20230122
1,1,1,1,101002,4262,4270000.0,0,0.0,20,20230122
1,1,1,1,101002,4264,40700000.0,0,0.0,21,20230122
1,1,1,1,101002,4267,19720000.0,0,1900000.0,22,20230122
1,1,1,1,101002,4269,40000000.0,0,2000000.0,23,20230122
1,1,1,1,101002,4729,357000000.0,0,0.0,24,20230122
1,1,1,1,101002,4822,5935000.0,0,0.0,25,20230122
1,1,1,1,101002,4861,50000000.0,0,2009000.0,26,20230122
1,1,1,2,105034,4111,789807700.0,0,1271826.0,27,20230122
1,1,1,2,105034,4112,75772200.0,0,0.0,28,20230122
1,1,1,2,105034,4113,41545200.0,0,20772600.0,29,20230122
1,1,1,2,105034,4212,4091100.0,0,414932.7,30,20230122
1,1,1,2,105034,4214,6054700.0,0,243132.1,31,20230122
1,1,1,2,105034,4215,400000.0,0,0.0,32,20230122
1,1,1,2,105034,4216,33086700.0,0,0.0,33,20230122
1,1,1,2,105034,4221,57029800.0,0,0.0,34,20230122
1,1,1,2,105034,4232,6871800.0,0,0.0,35,20230122
1,1,1,2,105034,4233,806400.0,0,0.0,36,20230122
1,1,1,2,105034,4234,680000.0,0,0.0,37,20230122
1,1,1,2,105034,4235,948000.0,0,0.0,38,20230122
1,1,1,2,105034,4237,1500000.0,0,0.0,39,20230122
1,1,1,2,105034,4239,420000.0,0,0.0,40,20230122
1,1,1,2,105034,4251,719900.0,0,0.0,41,20230122
1,1,1,2,105034,4252,2590000.0,0,0.0,42,20230122
1,1,1,2,105034,4261,4075000.0,0,0.0,43,20230122
1,1,1,2,105034,4264,9392000.0,0,0.0,44,20230122
1,1,1,2,105034,4267,1514000.0,0,0.0,45,20230122
1,1,1,2,105034,4822,218000.0,0,12000.0,46,20230122
1,1,1,3,101001,4111,683877200.0,0,5869460.0,47,20230122
1,1,1,3,101001,4112,80042100.0,0,0.0,48,20230122
1,1,1,3,101001,4113,26536200.0,0,0.0,49,20230122
1,1,1,3,101001,4212,60811900.0,0,5579052.2,50,20230122
1,1,1,3,101001,4213,7560000.0,0,650525.1,51,20230122
1,1,1,3,101001,4214,23990800.0,0,224355.0,52,20230122
1,1,1,3,101001,4215,1000000.0,0,0.0,53,20230122
1,1,1,3,101001,4221,428856000.0,0,43747573.0,54,20230122
1,1,1,3,101001,4231,1000000.0,0,0.0,55,20230122
1,1,1,3,101001,4232,3904800.0,0,0.0,56,20230122
1,1,1,3,101001,4233,2468000.0,0,0.0,57,20230122
1,1,1,3,101001,4234,3000000.0,0,0.0,58,20230122
1,1,1,3,101001,4236,30620000.0,0,0.0,59,20230122
1,1,1,3,101001,4237,155000000.0,0,2330727.7,60,20230122
1,1,1,3,101001,4251,3746000.0,0,0.0,61,20230122
1,1,1,3,101001,4252,10295300.0,0,0.0,62,20230122
1,1,1,3,101001,4261,9134500.0,0,0.0,63,20230122
1,1,1,3,101001,4262,547000.0,0,0.0,64,20230122
1,1,1,3,101001,4264,16416700.0,0,0.0,65,20230122
1,1,1,3,101001,4267,5102300.0,0,0.0,66,20230122
1,1,1,3,101001,4822,2590000.0,0,394465.0,67,20230122
1,1,1,3,101001,4861,126100000.0,0,0.0,68,20230122
1,1,1,3,101003,4111,3219287900.0,0,21502113.0,69,20230122
1,1,1,3,101003,4112,413926600.0,0,0.0,70,20230122
1,1,1,3,101003,4113,157539200.0,0,0.0,71,20230122
1,1,1,3,101003,4212,202790900.0,0,16826256.2,72,20230122
1,1,1,3,101003,4213,9476200.0,0,559110.8,73,20230122
1,1,1,3,101003,4214,103326500.0,0,1169955.1,74,20230122
1,1,1,3,101003,4215,3500000.0,0,0.0,75,20230122
1,1,1,3,101003,4216,5000000.0,0,0.0,76,20230122
1,1,1,3,101003,4221,416200000.0,0,1464068.0,77,20230122
1,1,1,3,101003,4231,6000000.0,0,0.0,78,20230122
1,1,1,3,101003,4232,90073000.0,0,0.0,79,20230122
1,1,1,3,101003,4233,1166100.0,0,0.0,80,20230122
1,1,1,3,101003,4234,17982600.0,0,0.0,81,20230122
1,1,1,3,101003,4235,26000000.0,105997000,105997000.0,82,20230122
1,1,1,3,101003,4237,249165200.0,0,123410.0,83,20230122
1,1,1,3,101003,4239,1570000.0,0,0.0,84,20230122
1,1,1,3,101003,4251,50000000.0,50000000,0.0,85,20230122
1,1,1,3,101003,4252,24250000.0,0,0.0,86,20230122
1,1,1,3,101003,4261,54276100.0,0,0.0,87,20230122
