CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
5,874686001,0291220,55500000.0,55493080.1,0.0,0.0,20190429,20221230,-Հայաստանի էլեկտրական ցանցեր- ՓԲԸ,20221231
5,876073001,012.08.13.00489,30526521.7,30306060.2,0.0,0.0,20130707,20221230,--Գազպրոմ Արմենիա-- ՓԲԸ,20221231
6,896737001,ՀՀ ԱԺ ԳՀԾՁԲ-22/4,62280000.0,62280000.0,0.0,0.0,20220207,20221230,ԱԿԱ 3 ՍՊԸ,20221231
6,929585001,4-12-10,12655946.0,12655945.8,0.0,0.0,20170130,20221230,-Վեոլիա Ջուր- ՓԲԸ,20221231
6,929587001,ՀՀ ԱԺ ԷԱՃԾՁԲ-22/2-1,200000.0,200000.0,0.0,0.0,20211208,20221230,Երեւանի կանխարգելիչ ախտահանում ՓԲԸ,20221231
7,872872001,10495648,3074370.0,3073935.0,0.0,0.0,20220101,20221230,ՄՏՍ Հայաստան ՓԲԸ,20221231
7,878430001,ARM-C-158/15,311040.0,311040.0,0.0,0.0,20150525,20221230,-Տելեկոմ Արմենիա- ՓԲԸ,20221231
7,878431001,112759246,2000000.0,1260143.9,0.0,0.0,20130722,20221230,-Տելեկոմ Արմենիա- ՓԲԸ,20221231
7,883689001,ԱԺ-ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,6797747.0,6797745.6,0.0,0.0,20131113,20221230,Յուքոմ ՓԲԸ,20221231
7,914218001,ՀՀ ԱԺ ԷԱՃԾՁԲ-22/1-1,480000.0,480000.0,0.0,0.0,20211203,20221230,Յուքոմ ՓԲԸ,20221231
7,929586001,PDU-36-02-22,596140.0,559640.0,0.0,0.0,20220411,20221230,-ՀԱՅՓՈՍՏ-ՓԲԸ,20221231
7,954911001,ՀՀ ԱԺ ԷԱՃԾՁԲ-22/7-1,500400.0,500400.0,0.0,0.0,20220608,20221230,Արփինետ ՍՊԸ,20221231
8,914219001,ՀՀ ԱԺ ՄԱԾՁԲ-22/4/Համաձայնագիր/,2300000.0,2300000.0,0.0,0.0,20221003,20221230,-ԱՐՄԵՆԻԱ ԻՆՇՈՒՐԱՆՍ- ԱՊԱՀՈՎԱԳՐԱԿԱՆ Ա,20221231
10,1003833001,ՀՀ ԱԺ ԳՀԾՁԲ-22/5Վ,145000.0,63800.0,0.0,0.0,20221227,20221230,Վոլֆ Քոմփանի ՍՊԸ,20221231
10,1004994001,ՀՀ ԱԺ ԳՀԾՁԲ-22/5Ա,106500.0,5325.0,0.0,0.0,20221228,20221230,Ա/Ձ Աննա Հովհաննիսյան  Սամվելի,20221231
11,898856001,ՀՀ ԱԺ ՄԱԾՁԲ-22/2,4429800.0,4429800.0,0.0,0.0,20220107,20221230,ՀԱՅԿԱԿԱՆ ԾՐԱԳՐԵՐ ՍՊԸ,20221231
11,900970001,ՀՀ ԱԺ ՄԱԾՁԲ-22/1,2016000.0,2016000.0,0.0,0.0,20220113,20221230,-ՎԻ ԻՔՍ ՍՈՖԹ- ՍՊԸ,20221231
12,929833001,ՀՀ ԱԺ ԷԱՃԱՊՁԲ-22/7-1,519800.0,334900.0,0.0,0.0,20220111,20221230,Բլից Մեդիա ՍՊԸ,20221231
13,991770001,ՀՀ ԱԺ ԳՀԾՁԲ-22/12,2115000.0,2115000.0,0.0,0.0,20221209,20221230,Ֆոր Էյ Քնսալթինգ ՓԲԸ,20221231
16,896798001,ՀՀ ԱԺ ԷԱՃԾՁԲ-22/4-1,4176000.0,4176000.0,0.0,0.0,20220111,20221230,Ռումորս ՍՊԸ,20221231
16,949348001,ՀՀ ԱԺ ԳՀԾՁԲ-22/11,240000.0,240000.0,0.0,0.0,20220519,20221230,ՏԵԽՆԻԿԱԿԱՆ ՓՈՐՁԱՔՆՆՈՒԹՅՈՒՆՆԵՐԻ ԿԵՆՏ,20221231
16,971460001,ՀՀ ԱԺ ԳՀԾՁԲ-22/2,2400000.0,2400000.0,0.0,0.0,20211209,20221230,Էլլիպս ՋիԷյ ՍՊԸ,20221231
16,997815001,ՀՀ ԱԺ ՀՄԱԾՁԲ-22/1,16170000.0,16170000.0,0.0,0.0,20221220,20221230,Ա/Ձ  Հայկ Ղազարյան,20221231
