CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
5,458232001,0291220,45315629.9,45315629.9,0.0,0.0,20190429,20191230,ՀԱՅԱՍՏԱՆԻ ԷԼԵԿՏՐԱԿԱՆ ՑԱՆՑԵՐ ՓԲԸ,20191224
5,459659001,012.08.13.00489,25431766.9,25431756.9,0.0,0.0,20130707,20191230,Գազպրոմ Արմենիա ՓԲԸ,20191224
6,459598001,4-12-10,7709040.0,7329050.9,0.0,0.0,20170130,20191230,ՎԵՈԼԻԱ ՋՈՒՐ ՓԲԸ,20191224
6,522473001,ՀՀ ԱԺ ԲՄԾՁԲ-18/1,51981000.0,51981000.0,0.0,0.0,20181211,20191230,ՔԼԻՆԵՐՍ ՍՊԸ,20191224
6,536032001,ՀՀ ԱԺ ՄԱԾՁԲ-19/7-ԵԿԱ,75000.0,75000.0,0.0,0.0,20190312,20191225,ԵՐԵՎԱՆԻ ԿԱՆԽԱՐԳԵԼԻՉ ԱԽՏԱՀԱՆՈՒՄ ՓԲԸ,20191224
6,552218001,ՀՀ ԱԺ ՄԱԾՁԲ-19/7-ԲԻՈ,16000.0,16000.0,0.0,0.0,20190319,20191225,ԲԻՈԷՔՍՊԵՐՏ ՍՊԸ,20191224
7,458231001,10495648,5746469.0,5746469.0,0.0,0.0,20130305,20191230,ՄՏՍ Հայաստան ՓԲԸ,20191224
7,459592001,ARM-C-158/15,311040.0,311040.0,0.0,0.0,20150525,20191230,ՎԵՈՆ ԱՐՄԵՆԻԱ ՓԲԸ,20191224
7,459593001,112759246,2900122.0,2900122.0,0.0,0.0,20130722,20191230,ՎԵՈՆ ԱՐՄԵՆԻԱ ՓԲԸ,20191224
7,460955001,ԱԺ-ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,7780423.6,7780423.6,0.0,0.0,20131113,20191230,ՅՈՒՔՈՄ ՍՊԸ,20191224
7,487942001,ՀՀ ԱԺ ԷԱՃԾՁԲ-19/1-1,3190000.0,3190000.0,0.0,0.0,20181219,20191230,ՋԻԷՆՍԻ-ԱԼՖԱ ՓԲԸ,20191224
7,514428001,N 56-Ա հրաման,5172916.0,5172916.0,0.0,0.0,20111212,20191230,"ՀՀ ԱԶԳԱՅԻՆ ԱՆՎՏԱՆԳՈՒԹՅԱՆ ԾԱՌԱՅՈՒԹՅՈ
ՒՆ",20191224
7,528607001,PD-189-03-19,404175.0,375115.0,0.0,0.0,20190419,20191230,ՀԱՅՓՈՍՏ ՓԲԸ,20191224
8,515354001,ՀՀ ԱԺ ՄԱԾՁԲ-19/1,2869000.0,2869000.0,0.0,0.0,20190118,20191231,"ՌՈՍԳՈՍՍՏՐԱԽ-ԱՐՄԵՆԻԱ ԱՊԱՀՈՎԱԳՐԱԿԱՆ Փ
ԲԸ",20191224
8,515357001,ՀՀ ԱԺ ՄԱԾՁԲ-19/8,183000.0,183000.0,0.0,0.0,20190404,20191230,"ՌՈՍԳՈՍՍՏՐԱԽ-ԱՐՄԵՆԻԱ ԱՊԱՀՈՎԱԳՐԱԿԱՆ Փ
ԲԸ",20191224
12,533033001,ՀՀ ԱԺ ՄԱԾՁԲ-19/2,230000.0,230000.0,0.0,0.0,20190118,20191230,ՀԱՅԿԱԿԱՆ ԾՐԱԳՐԵՐ ՍՊԸ,20191224
12,541748001,ՀՀ ԱԺ ԳՀԾՁԲ-19/9,960000.0,960000.0,0.0,0.0,20190529,20191230,ՎԻ ԻՔՍ ՍՈՖԹ ՍՊԸ,20191224
12,541749001,ՀՀ ԱԺ ՄԱԾՁԲ-19/42,480000.0,480000.0,0.0,0.0,20190623,20191230,"ԻՐԱՎԱԿԱՆ ՏԵՂԵԿԱՏՎԱԿԱՆ ԿԵՆՏՐՈՆ ԻՐՏԵԿ
 ՓԲԸ",20191224
12,571615001,ՀՀ ԱԺ ԳՀԾՁԲ-19/13,620000.0,620000.0,0.0,0.0,20190717,20191230,ՎԵԲ ՖԱՈՒՆԴԵՅՇՆ ՍՊԸ,20191224
12,573049001,ՀՀ ԱԺ ԳՀԾՁԲ-19/9,576000.0,576000.0,0.0,0.0,20190529,20191230,ՎԻ ԻՔՍ ՍՈՖԹ ՍՊԸ,20191224
13,520577001,ՀՀ ԱԺ ԷԱՃԱՊՁԲ-19/7-1,1417950.0,1417950.0,0.0,0.0,20190226,20191230,ԲԼԻՑ -ՄԵԴԻԱ ՍՊԸ,20191224
13,525574001,ՀՀ ԱԺ ՄԱԱՇՁԲ-19/1,81000.0,81000.0,0.0,0.0,20190422,20191225,ԿՈԼԼԱԺ ՍՊԸ,20191224
13,564063001,ՀՀ ԱԺ ԳՀԾՁԲ-19/8,6155250.0,6155250.0,0.0,0.0,20190523,20191230,ՀԱՅԿԱԿԱՆ ԾՐԱԳՐԵՐ ՍՊԸ,20191224
13,578734001,ՀՀ ԱԺ ԳՀԱՇՁԲ-19/1.-ԼՔ,1347099.0,1347098.9,0.0,0.0,20190603,20191230,ԼԱՔԻ ՓՐԻՆԹ ՍՊԸ,20191224
13,584572001,ՀՀ ԱԺ ԳՀԱՇՁԲ-19/1.-ԴՔ,426000.0,426000.0,0.0,0.0,20190603,20191230,ԴԱՎԻԹ ՔՈՉԱՐՅԱՆ ԱՁ,20191224
15,549629001,ՀՀ ԱԺ ՄԱԾՁԲ-19/26-ՓԱՅԼ,56000.0,56000.0,0.0,0.0,20190426,20191225,ՓԱՅԼ ՍԵՐՎԻՍ ՍՊԸ,20191224
15,551856001,ՀՀ ԱԺ ՄԱԾՁԲ-19/26-ԱԲ,230050.0,230050.0,0.0,0.0,20190429,20191225,ԱՐՄԵՆ ԲԱՂԴԱՍԱՐՅԱՆ ԱՁ,20191224
17,515356001,ՀՀ ԱԺ ՄԱԾՁԲ-19/6,555000.0,555000.0,0.0,0.0,20190301,20191230,ՍՕՍ ՍԻՍԹԵՄՍ ՍՊԸ,20191224
17,538816001,ՀՀ ԱԺ ՄԱԾՁԲ-19/6,90000.0,90000.0,0.0,0.0,20190301,20191230,ՍՕՍ ՍԻՍԹԵՄՍ ՍՊԸ,20191224
17,540405001,ՀՀ ԱԺ ԳՀԾՁԲ-19/10,80000.0,80000.0,0.0,0.0,20190610,20191225,"ՏԵԽՆԻԿԱԿԱՆ ՓՈՐՁԱՔՆՆՈՒԹՅՈՒՆՆԵՐԻ ԿԵՆՏ
ՐՈՆ ՍՊԸ",20191224
17,543968001,ՀՀ ԱԺ ԳՀԾՁԲ-19/11,120000.0,120000.0,0.0,0.0,20190621,20191225,"ՏԵԽՆԻԿԱԿԱՆ ՓՈՐՁԱՔՆՆՈՒԹՅՈՒՆՆԵՐԻ ԿԵՆՏ
ՐՈՆ ՍՊԸ",20191224
18,573656001,ՀՀ ԱԺ ԳՀԱՇՁԲ-19/2,800000.0,800000.0,0.0,0.0,20190627,20191230,ՀԱՄԱՇԻՆՆԱԽԱԳԻԾ ՍՊԸ,20191224
18,580046001,ՀՀ ԱԺ ԳՀԱՇՁԲ-19/4,3138672.0,3138672.0,0.0,0.0,20191002,20191230,ՀԱՐԵՀԱՍ ՍՊԸ,20191224
