GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
1,0,0,0,ԸՆԴՀԱՆՈՒՐ ԲՆՈՒՅԹԻ ՀԱՆՐԱՅԻՆ ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,2017
1,1,0,0,"Օրենսդիր եւ գործադիր  մարմիններ, պետական կառավարում, ֆինանսական եւ հարկաբյուջետային հարաբերություններ, արտաքին հարաբերություններ",2017
1,1,1,0,"Օրենսդիր եւ  գործադիր մարմիններ, պետական կառավարում",2017
1,1,1,1,ՀՀ Ազգային ժողովի աշխատակազմի եւ պատգամավորների պահպանում,2017
1,1,1,2,ՀՀ Վերահսկիչ պալատի պահպանում,2017
1,1,1,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2017
1,1,1,4,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարների աշխատակազմերի մասով)",2017
1,1,1,5,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2017
1,1,1,6,Վարչական օբյեկտների շինարարություն,2017
1,1,1,7,Վարչական օբյեկտների հիմնանորոգում,2017
1,1,1,8,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2017
1,1,1,9,ՀՀ վերահսկիչ պալատի պահուստային ֆոնդ,2017
1,1,1,10,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2017
1,1,1,11,"Հայաստանի Հանրապետության կառավարության գործունեության գնահատականների, կյանքի որակի եւ համայնքային կարիքների գնահատման հետազոտություններ",2017
1,1,1,12,Նախարարության «Ծրագրերի իրականացման գրասենյակ» պետական հիմնարկի պահպանում,2017
1,1,1,13,ՀՀ կառավարության աշխատակազմի «Օրենսդրության կարգավորման ազգային կենտրոն» ծրագրերի իրականացման գրասենյակի պահպանում,2017
1,1,1,14,ՀՀ արդարադատության նախարարության  «Անձնական տվյալների պաշտպանության գործակալության»  պահպանում,2017
1,1,1,15,Պետության կողմից ծառայությունների էլեկտրոնային մատուցման համալիր ծրագրի ապահովում,2017
1,1,1,16,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում արտաբյուջետային միջոցների հաշվին",2017
1,1,1,18,«Հայաստանի Հանրապետության արդարադատության նախարարության եւ ԱՄՆ ՄԶԳ-ի միջեւ 2016թվականի սեպտեմբերի 13-ին կնքված N AAG-111-G-13-001 Զարգացման համագործակցության համաձայնագրի ներքո իրականացվող» դրամաշնորհային ծրագիր,2017
1,1,1,19,«Օժանդակություն Հայաստանի հակակոռուպցիոն ռազմավարության իրականացմանը» դրամաշնորհային ծրագիր,2017
1,1,1,20,«Աջակցություն Հայաստանի կառավարությանը` հակակոռուպցիոն ռազմավարության իրականացման միջոցով բարելավելեւ օրենսդրական եւ կարգավորիչ դաշտը` աջակցելու ազդարարների արդյունավետ պաշտպանության համակարգի ստեղծմանը» դրամաշնորհային ծրագիր,2017
1,1,1,21,Փորձագիտական ծառայություններ արտաբյուջետային միջոցների հաշվին,2017
1,1,2,0,Ֆինանսական եւ հարկաբյուջետային հարաբերություններ,2017
1,1,2,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2017
1,1,2,2,Ակցիզային դրոշմանիշների ձեռքբերում,2017
1,1,2,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2017
1,1,2,4,Ֆինանսական կառավարման  համակարգի վճարահաշվարկային ծախսեր,2017
1,1,2,5,Ավելացված արժեքի հարկի վերադարձ,2017
1,1,2,6,Էլեկտրոնային գնումների համակարգի ներդրման գծով պետական պատվեր,2017
1,1,2,7,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2017
1,1,2,8,Բլումբերգ եւ Ռոյթերս տեղեկատվական համակարգերի առեւտրային տերմինալների տեղադրման եւ սպասարկման վճար,2017
1,1,2,9,"Եվրոպական ներդրումային բանկի աջակցությամբ իրականացվող ՀՀ պետական սահմանի «Բագրատաշեն», «Բավրա» եւ «Գոգովան» անցման կետերի արդիականացման ծրագիր",2017
1,1,2,10,"Եվրոպական միության Հարեւանության ներդրումային ծրագրի աջակցությամբ իրականացվող ՀՀ պետական սահմանի «Բագրատաշեն», «Բավրա» եւ «Գոգավան» անցման կետերի արդիականացման դրամաշնորհային ծրագիր",2017
1,1,2,12,Հարկային ծառայության մարմնի համակարգի եվ մաքսային ծառայության նյութական խրախուսման եւ համակարգի զարգացման ֆոնդ,2017
1,1,2,13,ՌԴ-ի կառավարության աջակցությամբ իրականացվող ԵՏՄ-ի անդամակցության շրջանակներում ՀՀ-ին տեխնիկական եւ ֆինանսական  աջակցություն ցուցաբերելու դրամաշնորհային ծրագիր,2017
1,1,2,40,Չինական Արտահանման-ներմուծման բանկի աջակցությամբ իրականացվող ՀՀ մաքսային զննման տեխնոլոգիաների եվ սարքավորումների արդիականացման ծրագիր,2017
1,1,2,41,Դրոշմապիտակների ձեռքբերման ծախսեր,2017
1,1,3,0,Արտաքին հարաբերություններ,2017
1,1,3,1,ՀՀ դեսպանությունների եւ ներկայացուցչությունների պահպանում,2017
1,1,3,2,Միջազգային կազմակերպություններին Հայաստանի Հանրապետության անդամակցության վճարներ,2017
1,1,3,3,Արտասահմանյան պատվիրակությունների ընդունելություններ,2017
1,1,3,4,Արտասահմանյան պաշտոնական գործուղումներ,2017
1,1,3,5,ՀՀ արտաքին գործերի նախարարության աշխատակազմի «Պետական արարողակարգի ծառայություն» գործակալության պահպանում,2017
1,1,3,6,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2017
1,1,3,7,Դեսպանությունների շենքերի գնում,2017
1,1,3,8,Հայաստանի Հանրապետությանը սուվերեն վարկանիշ շնորհելու կապակցությամբ կազմակերպությունների կողմից մատուցված ծառայությունների դիմաց վճարման ծախսեր,2017
1,1,3,9,ՆԱՏO-ի նոր կենտրոնակայանի շենքի վերակառուցման աշխատանքների ծախսերի փոխհատուցման ՀՀ մասնաբաժին,2017
1,1,3,10,ՀՀ դեսպանություների եվ ներկայացուցչությունների պահպանում արտաբյուջետային միջոցների հաշվին,2017
1,2,0,0,Արտաքին տնտեսական օգնություն,2017
1,2,1,0,Արտաքին տնտեսական աջակցություն,2017
1,2,2,0,Միջազգային կազմակերպությունների միջոցով տրամադրվող տնտեսական օգնություն,2017
1,3,0,0,Ընդհանուր բնույթի ծառայություններ,2017
1,3,1,0,Աշխատակազմի /կադրերի/ գծով ընդհանուր բնույթի ծառայություններ,2017
1,3,1,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2017
1,3,1,2,Քաղաքացիական ծառայության կադրերի ռեզերվում գտնվող քաղաքացիական ծառայողների վարձատրության հետ կապված ծախսեր,2017
1,3,1,3,Քաղաքացիակական կացության ակտերի գրանցման ծառայության  գործունեության կազմակերպման բնագավառում պետության կողմից  համայնքի ղեկավարին  պատվիրակված լիազորությունների իրականացման ֆինանսավորում,2017
1,3,2,0,Ծրագրման եւ վիճակագրական ընդհանուր ծառայություններ,2017
1,3,2,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2017
1,3,2,2,Պետական վիճակագրական տեղեկատվության հավաքագրում,2017
1,3,2,3,Տեղեկատվական տեխնոլոգիաների ոլորտի խթանման ծառայություններ,2017
1,3,2,4,Գյումրու եւ Վանաձորի տեխնոլոգիական կենտրոնների գործունեության իրականացման ծրագիր,2017
1,3,2,5,ՀՀ պետական մարմիններին լիցենզիոն ծրագրային փաթեթներով ապահովում,2017
1,3,2,6,2019թ. Տեղեկատվական տեխնոլոգիաների համաշխարհային համաժողովի կազմակերպման ծրագիր,2017
1,3,2,7,Եվրասիական տնտեսական միության հետ տեղեկատվական հոսքերի ապահովման նպատակով ինտեգրացված համակարգի ազգային սեգմենտի պահպանում,2017
1,3,2,8,2015թվականի Հայաստանի ժողովրդագրության եւ առողջության հարցերի հետազոտություն,2017
1,3,3,0,Ընդհանուր բնույթի այլ ծառայություններ,2017
1,3,3,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2017
1,3,3,2,ՀՀ Գեղարքունիքի մարզի Արծվաշեն համայնքի ղեկավարի աշխատակազմի պահպանում,2017
1,3,3,3,Պետական աջակցություն «Գնումների աջակցման կենտրոն» ՊՈԱԿ-ին,2017
1,3,3,4,Պետական աջակցություն «Սպասարկում» ՊՈԱԿ-ին,2017
1,3,3,5,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2017
1,4,0,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2017
1,4,1,0,Ընդհանուր բնույթի հետազոտական աշխատանք,2017
1,4,1,1,Գիտաշխատողներին գիտական աստիճանների համար տրվող հավելավճարներ,2017
1,4,1,2,Գիտական եւ գիտատեխնիկական գործունեության հիմնարար եւ կարեւորագույն նշանակություն ունեցող կիրառական հետազոտություններ,2017
1,4,1,3,Գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքների պահպանում ու զարգացում,2017
1,4,1,4,«Ա. Ալիխանյանի անվան ազգային գիտական լաբորատորիա» հիմնադրամի  գիտական եւ գիտատեխնիկական գործունեության ենթակառուցվածքի պահպանում ու զարգացում եւ գիտական ներուժի արդիականացում,2017
1,4,1,5,Ազգային արժեք ներկայացնող գիտական օբյեկտների պահպանություն,2017
1,4,1,6,«ՔԵՆԴԼ» սինքրոտրոնային հետազոտությունների ինստիտուտ» հիմնադրամին պետական աջակցություն,2017
1,5,0,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2017
1,5,1,0,Ընդհանուր բնույթի հանրային ծառայությունների գծով հետազոտական եւ նախագծային աշխատանքներ,2017
