MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2017
101002,ՀՀ Ազգային ժողով,2017
101003,ՀՀ կառավարության աշխատակազմ,2017
102001,ՀՀ սահմանադրական դատարան,2017
102002,ՀՀ դատական դեպարտամենտ,2017
102003,ՀՀվճռաբեկ դատարան,2017
102004,Վերաքննիչ քաղաքացիական դատարան,2017
102005,Վերաքննիչ քրեական դատարան,2017
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2017
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2017
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2017
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2017
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2017
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2017
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2017
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2017
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2017
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2017
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2017
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2017
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2017
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2017
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2017
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2017
102022,Վարչական դատարան,2017
102023,Երեվանի քաղաքացիական դատարան,2017
102024,Դատական դպրոց,2017
102025,Հյուսիսային քաղաքացիական դատարան,2017
102026,Հարավային քաղաքացիական դատարան,2017
102027,Երեվանի քրեական դատարան,2017
102028,Հյուսիսային քրեական դատարան,2017
102029,Հարավային քրեական դատարան,2017
103001,ՀՀ դատախազություն,2017
103002,ՀՀ հատուկ քննչական ծառայություն,2017
104001,ՀՀ տարածքային կառավարման եւ զարգացման նախարարություն,2017
104002,ՀՀ առողջապահության նախարարություն,2017
104003,ՀՀ արդարադատության նախարարություն,2017
104004,ՀՀ տնտեսական զարգացման եւ ներդրումների նախարարություն,2017
104005,ՀՀ արտաքին գործերի նախարարություն,2017
104006,ՀՀ բնապահպանության նախարարություն,2017
104007,ՀՀ գյուղատնտեսության նախարարություն,2017
104008,ՀՀ,2017
104009,ՀՀ էներգետիկ ենթակառուցվածքների եւ բնական պաշարների նախարարություն,2017
104010,ՀՀ կրթության եւ գիտության նախարարություն,2017
104011,ՀՀ մշակույթի նախարարություն,2017
104013,ՀՀ պաշտպանության նախարարություն,2017
104016,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարություն,2017
104018,"ՀՀ տրանսպորտի, կապի եւ տեղեկատվական տեխնոլոգիաների նախարարություն",2017
104020,ՀՀ քաղաքաշինության նախարարություն,2017
104021,ՀՀ ֆինանսների նախարարություն,2017
104022,ՀՀ սպորտի եւ երիտասարդության հարցերի նախարարություն,2017
104023,ՀՀ արտակարգ իրավիճակների նախարարություն,2017
104024,ՀՀ սփյուռքի նախարարություն,2017
104025,ՀՀ ֆինանսների նախարարություն /բժշկական ապահովագրության մասով/,2017
104026,ՀՀ միջազգային տնտեսական ինտեգրման եւ բարեփոխումների նախարարություն,2017
105001,ՀՀ կենտրոնական բանկ,2017
105002,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարության սոցիալական ապահովության պետական ծառայություն,2017
105003,ՀՀ ազգային վիճակագրական ծառայություն,2017
105004,ՀՀ հանրային ծառայությունները կարգավորող հանձնաժողով,2017
105005,ՀՀ կենտրոնական ընտրական հանձնաժողով,2017
105006,ՀՀ արժեթղթերի հանձնաժողով,2017
105007,ՀՀ քաղաքացիական ծառայության խորհուրդ,2017
105008,ՀՀ տնտեսական մրցակցության պաշտպանության պետական հանձնաժողով,2017
105009,ՀՀ կառավարությանն առընթեր անշարժ գույքի կադաստրի պետական կոմիտե,2017
105010,ՀՀ  էներգետիկ ենթակառուցվածքների եւ բնական պաշարների նախարարության ջրային տնտեսության պետական կոմիտե,2017
105011,ՀՀ կառավարությանն առընթեր մաքսային պետական կոմիտե,2017
105012,Հեռուստատեսության եւ ռադիոյի ազգային հանձնաժողով,2017
105013,ՀՀ կառավարությանն առընթեր պետական եկամուտների կոմիտե,2017
105014,ՀՀ արտակարգ իրավիճակների նախարարության Հայաստանի փրկարար ծառայություն,2017
105015,ՀՀ կրթության եւ գիտության նախարարության գիտության պետական կոմիտե,2017
105016,ՀՀ կառավարությանն առընթեր քաղաքացիական ավիացիայի գլխավոր վարչությոն,2017
105017,ՀՀ արտաքին գործերի նախարարության աշխատակազմի «Պետական արարողակարգի ծառայություն» գործակալություն,2017
105018,ՀՀ կառավարությանն առընթեր ազգային անվտանգության ծառայություն,2017
105019,ՀՀ կառավարությանն առընթեր ոստիկանություն,2017
105020,ՀՀ կառավարությանն առընթեր պետական գույքի կառավարման վարչություն,2017
105021,ՀՀ տարածքային կառավարման եւ զարգացման նախարարության միգրացիոն պետական ծառայություն,2017
105022,ՀՀ տարածք.կառ.նախ.աշխատ.պետ.ռեզերվների գործակալություն,2017
105026,ՀՀ տրանսպորտի նախարարության <Հայկական երկաթուղի> դեպարտամենտ,2017
105032,Պետական գնումների գործակալություն,2017
105033,Հայաստանի հանրային հեռուստառադիոընկերություն,2017
105034,ՀՀ վերահսկիչ պալատ,2017
105035,Մարդու իրավունքների պաշտպանի աշխատակազմ,2017
105036,ՀՀ արտաքին գործերի նախարարության Սփյուռքի հետ կապերի պետական կոմիտե,2017
105037,ՀՀ կառավարությանն առընթեր միջուկային անվտանգության կարգավորման պետական կոմիտե,2017
105039,ՀՀ տրանսպորտի եվ կապի նախ. կապի եվ տեղեկատվայնացման գլխավոր վարչութ,2017
105040,Ազգային Անվտանգության Խորհուրդ,2017
105041,ՀՀ ԿԱ ԱԱԾ Պետական պահպանության ծառայություն,2017
105042,ՀՀ գյուղատնտեսության նախարարության սննդամթերքի անվտանգության պետական ծառայություն,2017
105043,ՀՀ կառավարությանն առընթեր ճարտարապետության պետական կոմիտե,2017
105044,ՀՀ քննչական կոմիտե,2017
105045,ՀՀ կառավարությանն առընթեր քաղաքաշինության պետական կոմիտե,2017
105046,ՀՀ տնտեսական զարգացման եւ ներդրումների նախարարության զբոսաշրջության պետական կոմիտե,2017
105047,ՀՀ արդարադատության նախարարության քրեակատարողական վարչություն,2017
105048,ՀՀ արդարադատության նախարարության դատական ակտերի հարկադիր կատարումն ապահովող ծառայություն,2017
105049,Բարձրաստիճան պաշտոնատար անձանց էթիկայի հանձնաժողով ,2017
106001,Երեւանի քաղաքապետարան,2017
106002,Արագածոտնի մարզպետարան,2017
106003,Արարատի մարզպետարան,2017
106004,Արմավիրի մարզպետարան,2017
