GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,3066722300.0,262547530.0,2981059020.1,2,20211220
1,1,1,1,101002,4112,787279600.0,-204500000.0,572711320.0,3,20211220
1,1,1,1,101002,4113,88926800.0,0.0,87497460.0,4,20211220
1,1,1,1,101002,4212,141489700.0,-53302550.0,82998797.8,5,20211220
1,1,1,1,101002,4213,89630000.0,-10621000.0,72119770.0,6,20211220
1,1,1,1,101002,4214,26200000.0,-10889000.0,13348688.2,7,20211220
1,1,1,1,101002,4215,2500000.0,1500000.0,2232000.0,8,20211220
1,1,1,1,101002,4221,696537000.0,-483939500.0,206055506.2,9,20211220
1,1,1,1,101002,4231,7641000.0,-7441000.0,173632.0,10,20211220
1,1,1,1,101002,4232,36764000.0,-29218200.0,6156650.0,11,20211220
1,1,1,1,101002,4234,17140000.0,-11798900.0,2688776.0,12,20211220
1,1,1,1,101002,4235,13000000.0,-2220000.0,9960000.0,13,20211220
1,1,1,1,101002,4236,1000000.0,-77200.0,173384.4,14,20211220
1,1,1,1,101002,4237,195000000.0,-95000000.0,87541975.0,15,20211220
1,1,1,1,101002,4239,0.0,1680000.0,0.0,16,20211220
1,1,1,1,101002,4241,12420000.0,-460000.0,9379300.0,17,20211220
1,1,1,1,101002,4251,82325000.0,49552400.0,61556682.0,18,20211220
1,1,1,1,101002,4252,15000000.0,2000000.0,8994770.9,19,20211220
1,1,1,1,101002,4261,30871700.0,-16582700.0,6827060.0,20,20211220
1,1,1,1,101002,4262,4270000.0,-1270000.0,3000000.0,21,20211220
1,1,1,1,101002,4264,63600000.0,-15399900.0,48200000.0,22,20211220
1,1,1,1,101002,4267,19720700.0,2085300.0,20319169.1,23,20211220
1,1,1,1,101002,4269,30616600.0,8009300.0,34236419.8,24,20211220
1,1,1,1,101002,4729,135600000.0,34027500.0,141677474.1,25,20211220
1,1,1,1,101002,4822,5935000.0,0.0,4233722.0,26,20211220
1,1,1,1,101002,4861,50000000.0,0.0,47275440.0,27,20211220
