CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
5,599492001,012.08.13.00489,17411070.6,17411070.5,0,0,20130707,20201230,ԳԱԶՊՐՈՄ ԱՐՄԵՆԻԱ ՓԲԸ,20200329
5,599493001,0291220,15723252.6,15723252.5,0,0,20190429,20201230,ՀԱՅԱՍՏԱՆԻ ԷԼԵԿՏՐԱԿԱՆ ՑԱՆՑԵՐ ՓԲԸ,20200329
6,616248001,4-12-10,621560.5,621560.5,0,0,20170130,20201230,ՎԵՈԼԻԱ ՋՈՒՐ ՓԲԸ,20200329
6,620810001,ՀՀ ԱԺ ԳՀԾՁԲ-20/1,13319800.0,13319800.0,0,0,20191230,20201230,ՔԼԻՆԵՐՍ ՍՊԸ,20200329
7,603283001,10495648,1180952.0,1180952.0,0,0,20130305,20201230,ՄՏՍ Հայաստան ՓԲԸ,20200329
7,607120001,ԱԺ-ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,1205420.2,1205420.2,0,0,20131113,20201230,ՅՈՒՔՈՄ ՍՊԸ,20200329
7,607121001,ARM-C-158/15,311040.0,77760.0,0,0,20150525,20201230,ՎԵՈՆ ԱՐՄԵՆԻԱ ՓԲԸ,20200329
7,608355001,112759246,3000000.0,431886.3,0,0,20130722,20201230,ՎԵՈՆ ԱՐՄԵՆԻԱ ՓԲԸ,20200329
7,635666001,PD-71-01-20,116380.0,116380.0,0,0,20200123,20201230,ՀԱՅՓՈՍՏ ՓԲԸ,20200329
7,635667001,ՀՀ ԱԺ ԳՀԾՁԲ-20/6,3500000.0,291674.0,0,0,20200114,20201230,ՅՈՒՔՈՄ ՓԲԸ,20200329
11,639186001,ՀՀ ԱԺ ՄԱԾՁԲ-20/23,960000.0,0.0,0,0,20200224,20201230,ԻՐՏԵԿ ՓԲԸ,20200329
17,635663001,ՀՀ ԱԺ ԳՀԱՇՁԲ-20/2,11472195.0,11472195.0,0,0,20200124,20201230,ԷԼԴՈԳԱՐ ՍՊԸ,20200329
19,633466001,ՀՀ ԱԺ ԳՀԱՊՁԲ-19/44 ՍՄ,79200.0,79200.0,0,0,20191226,20200401,ՍՄԱՐԹԼԱՅՆ ՍՊԸ,20200329
19,635664001,ՀՀ ԱԺ ԳՀԱՊՁԲ-20/4 ՍՄ,797000.0,398500.0,0,0,20191212,20201230,ՍՄԱՐԹԼԱՅՆ ՍՊԸ,20200329
19,635665001,ՀՀ ԱԺ ԳՀԱՊՁԲ-20/5,417429.0,206680.0,0,0,20200213,20201230,ՄԵԾ ԾԻԱԾԱՆ ՍՊԸ,20200329
19,635938001,ՀՀ ԱԺ ԳՀԱՊՁԲ-20/4 ՄԾ,427780.0,213890.0,0,0,20191216,20201230,Մեծ ծիածան ՍՊԸ,20200329
