CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
4,259630001,000260,63000000.0,63000000.0,0.0,0.0,20080819,20161230,Հայաստանի Էլ.ցանցեր,20161229
4,266668001,012.08.13.00489,39887900.0,39887900.0,0.0,0.0,20130812,20161230,Գազպրոմ Արմենիա ՓԲԸ,20161229
5,278403001,4-12-10,11472878.0,11472878.0,0.0,0.0,20130822,20161230,Երեւան ջուր,20161229
5,292322001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-002,424000.0,424000.0,0.0,0.0,20160208,20161230,Երեւանի Կանխարգելիչ Ախտահանում ՓԲԸ,20161229
6,260627001,ԱԺ-ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,9450631.0,9450631.0,0.0,0.0,20131113,20161230,Յուքոմ,20161229
6,275555001,10495648,22392920.0,22392920.0,0.0,0.0,20130305,20161230,Ղ-Տելեկոմ,20161229
6,277477001,ՀՀ ԱԺ ՇՀԾՁԲ-15/1-2016,5100000.0,5100000.0,0.0,0.0,20151228,20161230,Յուքոմ,20161229
6,277543001,112759246,10901893.0,10901893.0,0.0,0.0,20130722,20161230,Արմենթել,20161229
6,278741001,118197051,1466000.0,1466000.0,0.0,0.0,20150603,20161230,Արմենթել,20161229
6,281212001,ARM-C 158/15,259200.0,259200.0,0.0,0.0,20150525,20161230,Արմենթել,20161229
6,303859001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-004,170000.0,170000.0,0.0,0.0,20160212,20161230,Հայկական ծրագրեր,20161229
6,321936001,PD-203-02-16,300000.0,0.0,0.0,0.0,20160215,20161230,Հայփոստ ՓԲԸ,20161229
7,273194001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-001,3660470.0,3660470.0,0.0,0.0,20160126,20161230,Գարանտ Ասիստանս ՍՊԸ,20161229
10,280748001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-007,330000.0,330000.0,0.0,0.0,20160229,20161230,ՍՕՍ Սիստեմս  ՍՊԸ,20161229
10,296796001,ՀՀ ԱԺ-ԲԸԱՀԾՁԲ-16/3-013,2500000.0,2500000.0,0.0,0.0,20160524,20161230,Ռետռո Ֆիլինգս ՍՊԸ,20161229
11,289925001,ՀՀ ԱԺ ՇՀԱՊՁԲ-15/20-2016,2654565.0,2654565.0,0.0,0.0,20151225,20161230,Բլից-Մեդիա ՍՊԸ,20161229
11,301025001,0095560538,996500.0,996500.0,0.0,0.0,20160624,20161225,Հարություն Աֆրիկյան ԱՁ,20161229
11,301026001,5074704411,990000.0,990000.0,0.0,0.0,20160624,20161225,Հարություն Աֆրիկյան ԱՁ,20161229
11,322299001,Ա 3815259055,500000.0,500000.0,0.0,0.0,20161223,20161230,Բուկինիստ ՍՊԸ,20161229
